	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	526475.0	341023.0	20797.0	27793.0	0.0	0.0	0.0	54.0	35.0	2.0	18.0	0.0	0.0	0.0	5.8780000000000001	0.57800835142840956	23.0	8.0	109.0	916088.0
1	1144018.0	1257695.0	48139.0	77936.0	0.0	0.0	0.0	201.0	89.0	4.0	62.0	0.0	0.0	0.0	12.376999999999999	1.9034566944785221	94.0	52.0	356.0	2527788.0
2	632773.0	1221211.0	176868.0	88649.5	0.0	0.0	0.0	51.5	64.0	8.0	39.0	0.0	0.0	0.0	7.5619999999999994	1.278781857863178	51.5	27.0	162.5	2119501.5
3	990049.5	1309608.0	176854.0	92697.0	0.0	0.0	0.0	59.5	67.0	9.0	38.5	0.0	0.0	0.0	7.9129999999999994	1.5905707654801153	55.0	29.0	174.0	2569208.5
4	1293064.0	1672598.0	722.0	176695.5	52786.0	0.0	0.0	181.0	35.0	1.0	46.5	41.0	0.0	0.0	9.0625	0.75997611146666955	47.0	19.0	304.5	3195865.5
5	5847263.0	1023892.5	171450.0	131211.0	0.0	0.0	0.0	133.0	63.0	12.0	28.5	0.0	0.0	0.0	12.561999999999999	1.1908829329535291	49.5	23.0	236.5	7173816.5
6	1034800.5	1299531.0	70300.0	126144.5	12569.0	0.0	0.0	201.0	51.0	7.0	45.0	4.0	0.0	0.0	10.128499999999999	1.2603645861416444	57.5	30.0	308.0	2543345.0
7	1545146.0	931492.0	121055.0	123506.0	2295.0	0.0	0.0	128.0	67.0	8.0	41.0	1.0	0.0	0.0	10.4735	0.61963218121721231	66.0	30.0	245.0	2723494.0
8	2775558.0	1878443.0	979722.0	168220.0	7390.5	0.0	0.0	193.5	100.5	21.5	59.0	6.5	0.0	0.0	15.023499999999999	1.504714736254019	96.5	49.0	381.0	5809333.5
9	2430136.0	1611488.0	616816.0	215391.0	13864.0	0.0	0.0	233.0	93.0	20.0	68.0	7.0	0.0	0.0	15.626000000000001	0.93090526762069137	99.0	53.0	421.0	4887695.0
10	906752.0	1320751.5	154958.0	67777.0	15825.0	0.0	0.0	108.0	79.0	7.0	42.0	4.0	0.0	0.0	9.9930000000000003	1.4935864387440052	74.5	42.0	240.0	2466063.5
11	195227.0	228181.0	65479.0	22034.5	2342.0	0.0	0.0	20.0	3.0	3.0	3.0	1.0	0.0	0.0	3.6180000000000003	0.76473970081328968	8.5	5.0	30.0	513263.5
12	1811500.0	1084569.5	31983.0	51788.5	0.0	0.0	0.0	121.5	61.0	3.0	27.0	0.0	0.0	0.0	15.905000000000001	1.5860274430160408	52.0	22.0	212.5	2979841.0
13	2383519.0	1772399.5	37171.0	255161.5	45408.0	0.0	0.0	100.0	69.0	4.0	17.5	2.0	0.0	0.0	11.493	0.71143457886161254	55.5	33.0	192.5	4493659.0
14	294121.0	1061080.5	271096.0	56931.0	0.0	0.0	0.0	61.0	62.0	4.0	39.5	0.0	0.0	0.0	6.4489999999999998	0.49667289034131912	70.5	43.5	166.5	1683228.5
15	1823179.5	1900427.0	953595.0	217616.5	210470.0	0.0	0.0	227.0	96.0	22.0	78.0	8.0	0.0	0.0	16.438499999999998	1.7562048392770131	109.0	56.5	431.0	5105288.0
16	777213.5	1188614.5	176191.0	86846.0	0.0	0.0	0.0	38.5	62.5	9.0	27.5	0.0	0.0	0.0	7.1854999999999993	0.50099005978162869	44.0	24.0	137.5	2228865.0
