	others_app_size	others_app_number	others_text_size	others_text_number
0	371153.0	7.0	0.0	2.0
1	524254.5	12.0	0.0	1.0
2	440370.5	12.5	0.0	1.0
3	384431.5	8.0	0.0	2.0
4	456897.0	10.0	0.0	1.0
5	378814.5	9.5	0.0	0.0
6	454500.0	7.0	19496.0	1.0
7	369592.0	5.0	0.0	0.0
8	696727.0	27.0	0.0	7.0
9	493178.0	11.0	0.0	1.0
10	400706.5	10.0	0.0	0.0
11	519638.0	13.0	74709.0	2.0
12	493115.0	12.0	77.0	5.0
13	461641.5	11.5	2.0	2.0
14	577022.5	20.5	0.0	1.0
15	369464.0	4.0	0.0	0.0
16	396656.0	6.0	0.0	0.0
17	758042.0	21.0	0.0	3.0
18	423875.0	15.0	0.0	7.0
19	431537.0	9.0	0.0	1.0
20	747241.0	14.0	0.0	1.0
21	758012.0	20.0	0.0	1.0
22	936426.0	27.0	0.0	0.0
23	370209.0	27.0	2.0	2.0
24	421720.0	13.0	0.0	0.0
25	441501.5	12.0	860.0	5.0
26	369688.0	6.0	0.0	0.0
27	426244.0	5.0	0.0	0.0
28	758017.0	19.0	0.0	1.0
29	0.0	0.0	0.0	0.0
30	387492.0	5.0	0.0	0.0
31	749841.0	13.5	93786.0	25.0
32	547721.0	15.0	616.0	28.0
33	369464.0	4.0	0.0	0.0
