	others_app_size	others_app_number	others_text_size	others_text_number
0	372456.5	8.0	0.0	2.0
1	524574.5	13.0	0.0	1.0
2	440559.0	12.5	0.0	1.0
3	387149.0	9.0	0.0	3.0
4	461024.0	16.0	0.0	1.0
5	382450.0	15.0	0.0	0.0
6	454548.0	8.0	19496.0	1.0
7	186392.5	4.5	0.0	0.0
8	714202.0	28.0	0.0	7.0
9	493226.0	12.0	0.0	1.0
10	403450.5	11.0	0.0	0.0
11	519686.0	13.0	74709.0	2.0
12	517144.0	15.0	77.0	5.5
13	589927.0	14.0	2.0	2.0
14	577235.5	22.0	0.0	1.0
15	203.0	1.5	0.0	0.0
16	399338.0	7.0	0.0	0.5
17	759415.0	22.5	0.0	7.0
18	454384.0	17.0	0.0	7.0
19	431034.0	10.0	0.0	1.0
20	750426.0	16.0	0.0	0.0
21	758033.0	22.0	0.0	7.0
22	936471.0	28.0	0.0	0.0
23	372219.5	28.5	2.0	2.0
24	471886.5	15.0	0.0	3.0
25	442844.5	18.0	11847.5	15.0
26	369736.0	7.0	0.0	0.0
27	430026.5	8.0	0.0	1.0
28	2053432.0	29.0	0.0	7.0
29	0.0	0.0	0.0	0.0
30	18386.0	3.0	0.0	0.0
31	1398724.5	21.5	93790.0	30.0
32	547764.0	16.0	660.0	32.0
33	369512.0	5.0	0.0	0.0
