	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	527118.0	908355.5	69824.0	32009.0	4270.0	0.0	0.0	90.0	63.0	22.0	12.0	2.0	0.0	0.0	13.8345	1.7630364602	34.0	16.0	189.0	1541576.5	372456.5	8.0	0.0	2.0
1	778439.0	830297.5	46190.0	48693.0	0.0	0.0	0.0	94.0	58.5	3.0	8.5	0.0	0.0	0.0	10.3165	1.19609248063	51.5	29.5	164.0	1703619.5	524574.5	13.0	0.0	1.0
2	2153416.0	2491826.5	242302.0	113899.0	3331.0	0.0	0.0	106.0	54.0	9.0	18.5	3.0	0.0	0.0	15.0315	2.08136331283	48.0	21.0	190.5	5004774.5	440559.0	12.5	0.0	1.0
3	490044.0	844332.0	35221.0	68053.0	17350.0	0.0	0.0	89.0	44.0	2.0	45.0	11.0	0.0	0.0	27.567	0.756952809332	59.0	27.0	191.0	1455000.0	387149.0	9.0	0.0	3.0
4	1372705.0	2419095.0	200720.0	237979.0	0.0	0.0	0.0	155.0	92.0	37.0	27.0	0.0	0.0	0.0	20.147	1.77963324006	63.0	35.0	311.0	4230499.0	461024.0	16.0	0.0	1.0
5	2377929.0	1124768.5	116149.0	98339.5	0.0	0.0	0.0	85.0	64.0	10.0	18.5	0.0	0.0	0.0	12.2125	0.916191377388	47.5	18.0	177.5	3717186.0	382450.0	15.0	0.0	0.0
6	602196.5	450941.0	102366.0	60512.5	0.0	0.0	0.0	50.0	38.0	3.0	10.0	0.0	0.0	0.0	9.5285	1.55301331611	27.0	9.0	101.0	1216016.0	454548.0	8.0	19496.0	1.0
7	500199.5	521913.0	264204.0	258322.0	0.0	0.0	0.0	41.0	16.0	8.0	2.0	0.0	0.0	0.0	5.3015	1.17624215619	18.5	12.0	67.0	1544638.5	186392.5	4.5	0.0	0.0
8	2173689.0	2536751.0	248964.0	180984.0	275.0	0.0	0.0	179.0	98.0	24.0	65.0	1.0	0.0	0.0	28.136	2.47422778077	95.0	49.0	367.0	5140663.0	714202.0	28.0	0.0	7.0
9	1143841.5	1192707.0	166986.0	133509.0	1950.0	0.0	0.0	107.5	63.0	17.0	27.5	1.0	0.0	0.0	11.4615	1.29237944892	35.5	16.0	216.0	2638993.5	493226.0	12.0	0.0	1.0
10	1420207.0	1176842.5	341457.0	233358.0	5658.0	0.0	0.0	95.0	56.0	8.0	12.5	8.0	0.0	0.0	13.333	3.19235940959	55.5	29.0	179.5	3177522.5	403450.5	11.0	0.0	0.0
11	1961984.0	1018856.0	57598.0	54158.0	193827.0	0.0	0.0	83.0	37.0	3.0	20.0	30.0	0.0	0.0	15.09	4.93351246171	37.0	19.0	173.0	3286423.0	519686.0	13.0	74709.0	2.0
12	1117858.0	1704605.5	137492.5	138477.5	0.0	0.0	0.0	133.5	77.0	12.5	34.0	0.0	0.0	0.0	16.1295	2.91324792114	52.0	20.0	257.0	3098433.5	517144.0	15.0	77.0	5.5
13	1982719.0	958231.0	68253.0	102677.0	55603.0	0.0	0.0	111.0	42.0	5.0	40.0	7.0	0.0	0.0	17.973	1.90318276579	58.0	34.0	205.0	3167483.0	589927.0	14.0	2.0	2.0
14	1159969.5	2218719.5	278466.0	187485.5	3224.0	0.0	0.0	100.0	60.0	10.0	33.5	1.0	0.0	0.0	15.863	2.54591002198	55.0	27.0	204.5	3847864.5	577235.5	22.0	0.0	1.0
15	0.0	147096.0	0.0	8707.0	0.0	0.0	0.0	1.0	6.0	0.0	2.0	0.0	0.0	0.0	2.618	1.07026279483	5.0	3.0	9.0	155803.0	203.0	1.5	0.0	0.0
16	4235842.5	820800.0	101101.0	76384.0	4982.0	0.0	0.0	63.0	27.5	1.5	63.5	9.5	0.0	0.0	9.0745	2.79136386736	27.5	13.5	165.0	5239109.5	399338.0	7.0	0.0	0.5
17	1074200.0	1661316.0	177048.5	108999.0	2482.0	0.0	0.0	98.0	75.0	16.0	42.5	1.0	0.0	0.0	21.8635	2.27357196719	75.0	38.0	232.5	3024045.5	759415.0	22.5	0.0	7.0
18	3428646.0	2077765.0	161876.0	172543.0	0.0	0.0	0.0	118.0	77.0	15.0	56.0	0.0	0.0	0.0	22.876	2.23458315499	81.0	41.0	266.0	5840830.0	454384.0	17.0	0.0	7.0
19	4960269.5	2616690.5	156705.0	142850.5	0.0	0.0	0.0	290.5	77.0	31.0	30.5	0.0	0.0	0.0	16.7345	3.34678983654	64.0	33.0	429.0	7876515.5	431034.0	10.0	0.0	1.0
20	1009058.0	1011195.5	61592.0	24488.5	0.0	0.0	0.0	28.0	52.0	4.0	5.0	0.0	0.0	0.0	5.635	2.16674637634	21.0	11.5	89.0	2106334.0	750426.0	16.0	0.0	0.0
21	1064404.0	1707844.0	344623.0	114117.0	9889.0	0.0	0.0	114.0	77.0	16.0	41.0	1.0	0.0	0.0	22.434	7.32313062988	77.0	38.0	249.0	3240877.0	758033.0	22.0	0.0	7.0
22	5129761.0	776298.0	247565.0	39419.5	0.0	0.0	0.0	87.0	89.0	25.0	8.5	0.0	0.0	0.0	10.964	2.34696906882	43.5	21.0	209.5	6193043.5	936471.0	28.0	0.0	0.0
23	4959456.0	734014.5	284847.0	18630.5	2582.0	0.0	0.0	50.5	77.0	13.0	22.5	1.0	0.0	0.0	6.593	2.31614759676	46.0	27.0	164.0	5999530.0	372219.5	28.5	2.0	2.0
24	847957.5	482135.0	521612.0	113040.5	0.0	0.0	0.0	95.5	27.0	15.0	16.0	0.0	0.0	0.0	15.502	4.43456108426	40.0	19.0	153.5	1964745.0	471886.5	15.0	0.0	3.0
25	1058809.5	1416429.0	192848.5	169019.5	182.0	0.0	0.0	218.0	104.0	10.5	90.0	1.0	0.0	0.0	23.484	4.80678631598	116.5	73.0	423.5	2837288.5	442844.5	18.0	11847.5	15.0
26	2371063.0	758919.5	55504.0	67604.5	20453.0	0.0	0.0	133.5	23.0	3.0	11.0	11.0	0.0	0.0	12.165	2.31925902176	17.5	4.0	181.5	3273544.0	369736.0	7.0	0.0	0.0
