	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	1421383.0	453290.0	15487.0	181751.0	0.0	0.0	0.0	151.0	31.0	2.0	33.0	0.0	0.0	0.0	6.3500000000000005	1.7483036222451627	47.0	16.0	217.0	2071911.0
1	1059792.0	262455.0	19387.0	242395.0	0.0	0.0	0.0	134.0	43.0	5.0	154.5	0.0	0.0	0.0	5.516	0.72307944930000601	33.5	19.0	336.5	1584029.0
2	6824537.0	870205.0	18028.0	343689.0	0.0	0.0	0.0	318.0	128.0	2.0	52.0	0.0	0.0	0.0	7.3799999999999999	1.4314245429718686	65.0	30.0	500.0	8056459.0
3	571416.0	241182.5	7511.0	546300.0	0.0	0.0	0.0	100.0	9.5	2.0	12.0	0.0	0.0	0.0	3.9470000000000001	1.2875674739601026	11.0	4.0	123.5	1366409.5
4	1309255.5	159289.0	36324.0	139701.0	0.0	0.0	0.0	118.0	31.0	2.0	4.0	0.0	0.0	0.0	6.7089999999999996	1.0198626819332102	22.0	12.0	155.0	1644569.5
5	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.151	0.059074613837078953	1.0	1.0	1.0	-1.0
6	4238197.5	151363.0	29117.0	31470.0	0.0	0.0	0.0	102.0	14.0	2.0	47.0	0.0	0.0	0.0	4.6715	2.7967213679592753	18.0	7.0	165.0	4450147.5
7	2523353.5	586555.0	36900.5	325222.0	32901.0	0.0	0.0	182.5	61.5	1.5	90.5	1.5	0.0	0.0	8.4544999999999995	1.3208436165477733	53.0	16.5	337.5	3504932.0
8	1410833.5	214841.5	742.0	59711.5	0.0	0.0	0.0	72.5	23.0	1.0	12.5	0.0	0.0	0.0	1.532	0.11059041549790834	9.0	5.0	109.0	1686128.5
9	14905293.5	257559.0	952.0	246465.5	0.0	0.0	0.0	136.0	29.0	1.0	18.0	0.0	0.0	0.0	2.4664999999999999	1.1239395001511425	20.0	7.5	184.0	15410270.0
