	others_app_size	others_app_number	others_text_size	others_text_number
0	463351.5	10.0	0.0	0.0
1	429538.0	11.0	0.0	0.0
2	619437.0	15.0	0.0	4.0
3	11458.0	2.0	0.0	0.0
4	1103231.5	16.0	19639.0	2.0
5	420915.0	9.0	0.0	3.0
6	385688.0	8.0	14040.0	2.0
7	369472.0	6.0	18558.0	3.0
8	375120.0	8.0	0.0	2.0
9	370325.0	5.0	0.0	0.0
10	446753.0	8.0	25095.0	1.0
11	387295.0	10.0	52850.0	5.0
12	373999.5	6.0	55.0	2.0
13	369464.0	4.0	96228.0	4.0
14	2282893.0	8.0	335018.0	12.0
15	369800.0	7.0	0.0	1.0
16	395755.0	16.0	41098.0	13.0
17	668129.0	10.0	0.0	0.0
18	213884.0	4.0	1191.0	1.0
19	369464.0	4.0	0.0	0.0
20	379217.0	5.0	0.0	1.0
21	369767.0	6.0	0.0	8.0
22	370651.5	7.5	1045.0	10.0
23	411154.0	14.0	13886.0	5.0
24	425833.5	25.0	5864.0	1.0
25	374895.0	10.0	325.0	2.0
26	538799.0	8.0	59.0	2.0
27	570358.0	20.0	0.0	1.0
28	403768.5	10.5	2.0	2.0
29	639258.0	9.0	0.0	0.0
30	501574.0	10.5	0.0	0.0
31	99221.5	6.0	0.0	0.0
32	529890.0	15.0	0.0	4.0
33	487180.0	15.0	11331.5	11.0
34	395777.5	8.0	597.0	4.5
35	532117.5	9.0	948.0	2.0
36	414893.0	6.0	327.0	4.0
37	538904.0	8.0	327.0	2.5
38	458986.0	10.0	74615.5	4.0
39	697993.0	21.0	13778.0	4.0
40	557102.0	17.0	25.0	1.0
41	0.0	0.0	0.0	0.0
42	375232.0	6.0	125.0	1.0
43	0.0	0.0	0.0	0.0
45	486137.0	7.5	0.0	0.0
46	726232.0	9.0	0.0	0.0
48	621325.0	21.0	0.0	9.0
49	369709.0	6.0	0.0	1.0
50	439338.0	8.0	78.0	3.0
51	375498.0	7.0	0.0	0.0
52	462950.5	21.5	143.0	4.0
53	369488.5	4.5	54696.0	1.0
54	672636.0	17.0	148936.0	4.0
55	531954.0	9.0	948.0	2.0
56	862734.0	9.0	78.0	3.0
57	185822.0	6.0	0.0	0.0
58	375116.0	5.0	0.0	0.0
59	374099.0	7.0	173676.0	4.0
60	449383.0	7.0	0.0	1.0
61	439683.0	8.0	0.0	0.0
62	371635.0	8.0	0.0	0.0
63	424684.0	6.0	0.0	0.0
64	373383.0	5.0	0.0	0.0
65	58445.0	5.0	0.0	0.0
66	369464.0	4.0	64464.0	3.0
67	371951.0	7.5	58.0	1.0
68	887197.0	13.0	2.0	2.0
69	63129.0	5.0	32989.0	6.0
70	1287652.0	18.0	0.0	0.0
