	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	145296.5	614713.0	12494.0	95902.5	10333.0	0.0	0.0	18.0	36.0	4.0	10.0	1.0	0.0	0.0	2.8414999999999999	0.59013680617294162	17.0	11.0	69.0	878739.0
1	1005915.0	483088.0	0.0	143089.0	0.0	0.0	0.0	125.5	34.0	0.0	20.0	0.0	0.0	0.0	7.3535000000000004	2.205851119182797	42.0	23.0	179.5	1632092.0
2	543005.5	542777.0	125031.5	187370.5	0.0	0.0	0.0	45.5	41.0	5.0	18.0	0.0	0.0	0.0	5.641	1.1123046570072428	23.0	10.0	109.5	1398184.5
3	248544.0	172859.0	54255.0	19532.0	0.0	0.0	0.0	8.0	5.0	3.0	2.0	0.0	0.0	0.0	2.1074999999999999	0.56700177248400219	5.5	3.0	18.0	495190.0
4	9268629.0	1044502.0	116884.0	183905.0	4963.0	0.0	0.0	130.0	102.0	6.0	92.0	3.0	0.0	0.0	15.945	1.239971987833695	81.0	37.0	333.0	10618883.0
5	322404.5	400671.5	106803.0	54441.0	24265.0	0.0	0.0	28.0	38.5	3.0	7.5	1.0	0.0	0.0	2.8905000000000003	0.47760804013332941	23.0	11.0	78.0	908585.0
6	8055027.5	328098.0	41932.0	93717.0	0.0	0.0	0.0	137.5	36.0	6.0	15.0	0.0	0.0	0.0	7.7469999999999999	2.3320483035306108	27.5	16.0	194.5	8518774.5
7	357559.0	463754.5	8020.0	105619.5	0.0	0.0	0.0	41.5	41.0	3.5	33.5	0.0	0.0	0.5	4.6799999999999997	0.40653906331372391	41.5	17.0	120.0	934953.0
8	1642973.0	757350.0	0.0	167305.0	67.0	0.0	0.0	129.0	54.0	0.0	54.0	1.0	0.0	0.0	9.8420000000000005	4.0786368214132098	93.0	58.0	238.0	2567695.0
9	513867.0	308425.0	94485.0	84227.5	0.0	0.0	0.0	40.0	15.0	1.0	20.5	0.0	0.0	0.0	2.758	0.6013363118921059	23.5	14.0	76.5	1001004.5
10	819068.5	948116.0	329976.0	114779.5	23787.0	0.0	0.0	56.0	37.0	23.0	6.0	11.0	0.0	0.0	5.3295000000000003	3.583098918446852	22.0	12.0	133.0	2235727.0
11	1647353.5	2968595.0	64423.5	689860.5	14608.0	0.0	0.0	196.0	98.5	10.0	92.0	12.0	0.0	0.0	14.811499999999999	2.6113822489248872	131.0	64.5	408.5	5384840.5
12	2012194.0	557030.5	512678.0	78195.5	1777.0	0.0	0.0	70.0	69.0	25.0	15.0	1.0	0.0	0.0	5.2954999999999997	0.58493097028623797	25.0	11.0	180.0	3161875.0
13	824107.0	997159.0	62903.0	118813.0	0.0	0.0	0.0	78.0	41.0	4.0	27.0	0.0	0.0	0.0	8.9719999999999995	1.6422122612838792	42.0	15.0	150.0	2002982.0
14	3044582.0	327504.0	32638.0	69160.0	0.0	0.0	0.0	66.0	17.0	3.0	7.0	0.0	0.0	0.0	4.0529999999999999	0.0	11.0	8.0	93.0	3473884.0
15	332918.0	654712.0	44894.0	88086.0	182.0	0.0	0.0	20.0	14.0	2.0	23.0	1.0	0.0	0.0	5.1210000000000004	1.1779709504058238	16.0	3.0	60.0	1120792.0
16	728803.5	1037727.0	17948.0	218731.0	0.0	0.0	0.0	148.5	80.5	8.0	76.0	0.0	0.0	0.0	15.912000000000001	1.6807451286557396	115.0	59.0	313.0	2003209.5
17	1200075.0	1309447.5	78611.0	125479.0	3860.0	0.0	0.0	108.5	76.5	10.0	23.5	2.0	0.0	0.0	11.407500000000001	2.6476733654285982	62.5	32.5	220.5	2717472.5
18	1806947.0	220331.0	33564.0	57917.0	673.0	0.0	0.0	98.0	4.0	2.0	4.0	1.0	0.0	0.0	3.4940000000000002	0.92959426095474584	14.0	6.0	109.0	2119432.0
19	1317110.5	982741.5	126874.0	85034.5	0.0	0.0	0.0	73.0	53.0	18.0	15.5	0.0	0.0	0.0	5.9474999999999998	1.0760925424887953	32.5	14.0	159.5	2511760.5
20	1322294.5	400656.5	40873.0	281207.0	0.0	0.0	0.0	164.0	26.0	7.0	39.0	0.0	0.0	0.0	13.0055	1.5894970556751593	38.0	21.0	236.0	2045031.0
21	1562854.0	798970.0	297957.0	64513.0	27878.0	0.0	0.0	157.0	35.0	6.0	21.0	6.0	0.0	0.0	9.6539999999999999	2.014106406643887	51.0	23.0	225.0	2752172.0
22	683851.0	723037.5	68724.0	139239.0	3378.0	0.0	0.0	113.0	100.5	8.0	52.0	2.0	0.0	0.0	14.987500000000001	1.4852073424273118	91.0	50.0	275.5	1618229.5
23	2373028.0	494277.5	170381.5	68694.0	41279.0	0.0	0.0	91.0	60.5	11.5	17.0	10.0	0.0	0.0	7.7065000000000001	1.0013852205819698	59.0	29.0	190.0	3147660.0
24	4059912.0	675819.0	29235.0	115610.0	17434.0	0.0	0.0	186.0	36.0	2.0	10.0	10.0	0.0	0.0	4.4320000000000004	3.4838466323913697	44.0	25.0	244.0	4898010.0
25	1898926.0	859704.0	24784.0	99090.0	0.0	0.0	0.0	65.0	67.0	4.0	15.0	0.0	0.0	0.0	19.034000000000002	1.6997510783626715	67.0	34.0	151.0	2882504.0
26	6565634.0	1136790.5	115089.0	103065.5	182.0	0.0	0.0	103.5	49.0	14.0	21.0	1.0	0.0	0.0	7.7050000000000001	1.8043854909636137	30.0	9.0	188.5	7920761.0
27	430847.0	768946.0	54512.0	138022.0	4491.0	0.0	0.0	63.0	40.0	3.0	28.0	3.0	0.0	0.0	7.8220000000000001	0.7739303889327388	49.0	23.0	137.0	1396818.0
28	2188296.0	1826077.0	114719.0	310056.0	105741.0	0.0	0.0	207.0	102.0	24.0	56.0	39.0	0.0	0.0	9.1560000000000006	1.4662222053821019	44.0	20.0	428.0	4544889.0
29	2019840.0	167913.0	88970.0	27529.0	0.0	0.0	0.0	109.0	14.0	8.0	4.0	0.0	0.0	0.0	2.198	0.94495220337679875	8.0	5.0	135.0	2304252.0
30	1444371.0	701430.0	45442.0	97346.0	0.0	0.0	0.0	135.0	45.0	5.0	22.0	0.0	0.0	0.0	6.0730000000000004	0.97675173438150786	48.0	22.0	207.0	2288589.0
31	151364.0	163127.0	44331.0	178826.0	0.0	0.0	0.0	3.0	4.0	1.0	3.0	0.0	0.0	0.0	2.4670000000000001	1.1540377531963457	6.0	3.0	11.0	537648.0
32	2587688.0	1286788.0	111710.0	176296.5	7688.0	0.0	0.0	264.0	104.0	7.0	105.0	5.0	0.0	0.0	19.712000000000003	1.2369695046991069	89.0	44.0	485.0	4170170.5
33	1237066.5	877599.0	53407.0	91560.0	0.0	0.0	0.0	220.0	73.5	5.5	30.0	0.0	0.0	0.0	12.91	1.8932104305583675	72.5	39.0	329.0	2259632.5
34	897295.0	1149001.0	47753.0	180643.0	182.0	0.0	0.0	127.0	122.0	8.0	109.0	1.0	0.0	0.0	28.094000000000001	2.7020489262779832	93.0	51.0	367.0	2274874.0
35	2472280.0	635881.0	55638.0	52605.5	57633.0	0.0	0.0	69.0	16.0	2.0	1.0	1.0	0.0	0.0	3.7759999999999998	0.61829209066184887	17.0	13.0	89.0	3274037.5
36	785595.0	1192675.0	737898.5	337623.0	182.0	0.0	0.0	80.0	73.5	5.0	59.5	1.0	0.0	0.0	13.997499999999999	1.8658404900674117	62.5	26.0	219.0	3053973.5
37	5007572.5	532426.5	89540.0	226709.5	0.0	0.0	0.0	651.0	56.5	4.0	17.5	0.0	0.0	0.0	7.4649999999999999	1.8160905083103656	51.0	22.0	729.0	5856248.5
38	1382590.0	1035973.0	64283.0	161680.0	0.0	0.0	0.0	155.0	95.0	13.0	38.0	0.0	0.0	0.0	16.345000000000002	2.9494633786881006	77.0	41.0	301.0	2644526.0
39	1366013.5	731500.0	153327.0	109455.5	53198.0	0.0	0.0	94.0	89.5	11.0	24.5	5.0	0.0	0.0	7.0564999999999998	0.72727105504069134	53.5	28.5	224.0	2413494.0
40	1725493.5	804195.5	103106.0	60112.0	12424.0	0.0	0.0	141.5	41.0	7.0	31.5	4.0	0.0	0.0	6.1980000000000004	1.6452060661205938	42.5	23.5	225.0	2705331.0
41	0.0	0.0	0.0	250824.5	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.19550000000000001	0.044328320518602998	2.0	1.0	2.0	250824.5
42	2388215.5	963496.5	130741.0	97523.0	0.0	0.0	0.0	74.5	49.5	13.0	16.0	0.0	0.0	0.0	5.4689999999999994	0.49455788336654788	39.5	22.5	153.0	3579976.0
43	12019.0	0.0	0.0	34441.0	0.0	0.0	0.0	0.5	0.0	0.0	2.0	0.0	0.0	0.0	0.17349999999999999	0.031469975770565831	2.0	1.0	2.5	46460.0
45	2460309.0	371859.0	28102.0	60224.0	2300.0	0.0	0.0	64.0	25.0	3.0	12.0	1.0	0.0	0.0	23.259999999999998	0.0	42.0	22.0	105.0	2922794.0
46	1901339.0	519698.0	113536.0	49714.5	0.0	0.0	0.0	123.0	22.5	4.0	7.0	0.0	0.0	0.0	4.0579999999999998	0.48238960848571366	25.0	14.5	156.5	2584287.5
48	783313.0	796736.0	93144.0	107984.0	0.0	0.0	0.0	188.0	86.0	6.0	89.0	0.0	0.0	0.0	9.488999999999999	0.8838050620782284	117.0	70.0	369.0	1781177.0
49	504275.0	582795.0	303832.5	98671.0	0.0	0.0	0.0	49.0	43.5	3.0	22.0	0.0	0.0	0.0	12.160499999999999	1.6820013624647672	44.5	25.0	117.5	1489573.5
50	373346.0	379766.0	60938.0	67316.5	0.0	0.0	0.0	84.5	28.5	3.0	15.5	0.0	0.0	0.0	6.5404999999999998	0.78431642211546226	35.0	19.0	131.5	881366.5
51	164564.0	684258.0	156382.0	68484.5	0.0	0.0	0.0	30.5	33.0	2.0	10.0	0.0	0.0	0.0	4.6434999999999995	1.429287322409319	39.0	18.0	75.5	1073688.5
52	570379.5	649216.0	53733.0	143992.0	30421.0	0.0	0.0	89.5	76.0	4.0	49.0	25.0	0.0	0.0	9.4310000000000009	1.2548279700321476	60.5	32.0	243.5	1447741.5
53	593367.5	509875.0	53241.0	91968.5	1628.0	0.0	0.0	36.0	11.0	2.0	8.0	1.0	0.0	0.0	3.1299999999999999	0.52426601966463537	17.0	7.0	58.0	1250080.0
55	2472280.0	635881.0	55638.0	52606.0	57633.0	0.0	0.0	69.0	16.0	2.0	1.0	1.0	0.0	0.0	3.7389999999999999	0.50749901477736881	18.0	13.0	89.0	3274038.0
56	1382505.0	533500.0	372167.0	98570.0	1523.0	0.0	0.0	55.0	40.0	2.0	19.0	1.0	0.0	0.0	7.7390000000000008	2.2045253272229264	42.0	25.0	117.0	2388265.0
57	2127925.0	456991.0	38042.0	28188.0	0.0	0.0	0.0	85.0	20.0	3.0	10.0	0.0	0.0	0.0	2.0060000000000002	1.1651024364835909	19.0	13.0	118.0	2651146.0
58	352081.5	832543.5	34024.0	101627.0	1538.0	0.0	0.0	120.0	121.5	6.5	94.5	1.0	0.0	0.0	14.878500000000001	2.6315000000000008	108.0	56.0	343.5	1321814.0
59	992202.0	354216.0	126648.0	360203.0	10247.0	0.0	0.0	121.5	19.0	6.0	13.5	6.0	0.0	0.0	4.4589999999999996	0.31359727358508721	26.0	16.0	166.0	1843516.0
60	954967.0	565980.5	63986.0	60732.5	436.0	0.0	0.0	48.0	20.5	6.0	22.5	2.0	0.0	0.0	6.1849999999999996	2.0373499944781206	24.0	8.5	99.0	1646102.0
61	179505.0	109608.0	43006.0	14971.0	0.0	0.0	0.0	22.0	15.0	2.0	1.0	0.0	0.0	0.0	5.4279999999999999	0.52375457933558922	16.0	11.0	40.0	347090.0
62	9979366.0	1130271.5	214038.0	202258.5	0.0	0.0	0.0	108.5	23.0	9.0	11.0	0.0	0.0	0.0	8.4239999999999995	0.88283757707745991	25.0	7.0	151.5	11525934.0
63	1519890.0	811306.5	119532.0	40693.0	0.0	0.0	0.0	64.5	21.0	12.0	9.0	0.0	0.0	0.0	7.6884999999999994	1.0132713034400016	24.5	5.0	106.5	2491421.5
64	1285399.0	476372.0	65099.0	86751.0	0.0	0.0	0.0	18.0	19.0	5.0	2.0	0.0	0.0	0.0	4.3599999999999994	0.8986659557366129	10.0	6.0	44.0	1913621.0
