	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	3022902.0	369495.0	26203.0	55210.5	27420.0	0.0	0.0	93.0	29.0	2.0	10.0	9.0	0.0	0.0	6.2814999999999994	2.5837476734387206	18.0	9.0	143.0	3501230.5
1	672467.5	775690.5	297501.0	77268.0	0.0	0.0	0.0	45.5	26.0	7.0	17.0	0.0	0.0	0.0	7.9615000000000009	0.97176270766067185	23.0	12.0	95.5	1822927.0
2	941093.0	795915.0	37153.0	68581.0	0.0	0.0	0.0	68.0	42.0	9.0	21.0	0.0	0.0	0.0	10.235999999999999	4.0096640603101914	34.0	15.0	140.0	1842742.0
3	473151.0	61845.0	9236.0	41010.5	0.0	0.0	0.0	47.0	9.0	2.0	9.0	0.0	0.0	0.0	3.6284999999999998	0.50339785458422437	14.0	4.5	67.0	585242.5
4	644918.5	648523.5	26699.0	472859.0	0.0	0.0	0.0	53.5	32.5	2.0	27.5	0.0	0.0	0.0	11.809000000000001	1.0347919645996484	35.5	14.5	115.5	1793000.0
5	1207833.5	1151775.5	115185.0	148634.0	0.0	0.0	0.0	164.0	60.0	3.0	43.0	0.0	0.0	0.0	13.248999999999999	1.9521109112957693	55.0	34.5	270.0	2623428.0
6	2671892.0	336332.5	51611.0	145433.0	3436.0	0.0	0.0	139.5	28.0	5.0	17.0	1.0	0.0	0.0	8.2624999999999993	1.1285805288059865	46.5	23.0	190.5	3208704.5
7	1201981.0	1582885.0	96831.0	382264.0	3065.0	0.0	-2.0	95.0	38.0	17.0	31.0	10.0	0.0	2.0	12.893000000000001	4.5014712656592124	59.0	30.0	193.0	3267024.0
8	0.0	0.0	0.0	71042.5	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.34850000000000003	0.10614876353495598	2.0	1.0	1.5	71042.5
9	543705.5	491684.5	93780.0	123221.0	182.0	0.0	0.0	66.0	44.0	3.0	25.0	1.0	0.0	0.0	9.7944999999999993	1.4865368612987704	41.0	20.0	139.0	1252573.0
10	631771.0	420856.0	88364.0	81623.0	0.0	0.0	0.0	64.5	29.5	4.0	26.0	0.0	0.0	0.0	8.7835000000000001	1.134898184860651	36.5	18.0	124.0	1222614.0
11	3380406.0	754306.0	68873.5	130788.0	182.0	0.0	0.0	126.0	23.0	12.0	25.5	1.0	0.0	0.0	7.6514999999999995	2.2155964524253959	21.0	9.5	187.5	4334555.5
12	492758.5	803926.5	114929.0	236488.0	182.0	0.0	0.0	41.0	52.0	18.0	21.0	1.0	0.0	0.0	8.5960000000000001	1.6821000594494964	28.5	14.5	133.0	1648284.0
13	154960.0	30726.0	0.0	11352.0	0.0	0.0	0.0	4.0	3.0	0.0	3.0	0.0	0.0	0.0	3.423	0.36962825920105197	11.5	7.0	10.0	197038.0
14	957921.0	935923.0	63817.0	140065.0	6465.0	0.0	0.0	82.0	46.0	6.0	26.0	1.0	0.0	0.0	9.354000000000001	2.2952979956617594	42.0	20.0	161.0	2104191.0
15	1920354.5	510193.5	82524.0	57754.0	182.0	0.0	0.0	83.0	39.0	11.0	19.0	1.0	0.0	0.0	10.657499999999999	2.254840561991025	33.0	15.5	153.0	2571008.0
16	900679.0	807646.0	62790.0	52665.0	0.0	0.0	0.0	110.0	29.0	4.0	23.0	0.0	0.0	0.0	8.7509999999999994	2.9334428935768537	31.0	14.0	166.0	1823780.0
17	292637.0	987202.0	37873.0	59694.0	0.0	0.0	0.0	37.0	34.0	3.0	40.0	0.0	0.0	0.0	10.206999999999999	1.2066604460654065	43.0	22.0	114.0	1377406.0
18	1104605.5	479881.5	809193.0	95040.0	0.0	0.0	0.0	80.5	29.0	5.0	28.5	0.0	0.0	0.0	9.8245000000000005	1.8050069833659925	41.5	21.0	143.0	2488720.0
19	940306.0	1500543.0	101918.0	217192.0	182.0	0.0	0.0	154.0	53.0	21.0	19.0	1.0	0.0	0.0	15.507999999999999	6.6299216974475437	29.0	12.0	248.0	2760141.0
20	1295594.0	693832.0	37528.0	80793.0	0.0	0.0	0.0	86.0	51.0	8.0	21.0	0.0	0.0	0.0	9.4164999999999992	1.8629341265863373	26.5	15.0	166.0	2107747.0
21	1145783.5	992294.5	48051.0	44871.5	0.0	0.0	0.0	141.0	39.0	7.0	23.0	0.0	0.0	0.0	6.2744999999999997	1.960847033809624	46.0	22.0	210.0	2231000.5
22	1691938.0	214346.0	0.0	157731.0	0.0	0.0	0.0	68.0	18.0	0.0	13.0	0.0	0.0	0.0	5.9249999999999998	1.2356104304360938	21.0	9.0	99.0	2064015.0
23	866926.0	485026.0	31648.0	8015.0	0.0	0.0	0.0	57.0	20.0	3.0	8.5	0.0	0.0	0.0	9.391	1.8565349686984081	24.0	8.0	88.5	1391615.0
24	691038.0	225968.0	21819.0	85219.5	388.0	0.0	0.0	116.0	23.0	3.0	7.0	1.0	0.0	0.0	6.7189999999999994	1.6389932885768628	30.0	13.0	150.0	1024432.5
25	2025108.0	606913.0	61992.0	57835.0	182.0	0.0	0.0	71.0	55.0	13.0	38.0	1.0	0.0	0.0	9.7720000000000002	2.0208932018623185	40.0	17.0	178.0	2752030.0
26	509860.0	873229.0	27374.5	248132.5	182.0	0.0	0.0	80.5	43.5	3.0	39.5	1.0	0.0	0.0	11.5335	1.83738688359311	46.0	17.0	167.5	1658778.0
27	1189940.0	1300182.5	76931.0	174702.0	0.0	0.0	0.0	109.0	55.0	6.0	35.0	0.0	0.0	0.0	14.641000000000002	2.2589596425493448	45.0	24.0	205.0	2741755.5
28	918907.5	1336582.0	50791.0	277206.5	0.0	0.0	0.0	88.5	33.0	4.0	17.5	0.0	0.0	0.0	9.4299999999999997	2.5776333719130813	32.5	18.0	143.0	2583487.0
29	1085409.0	788133.0	30432.0	36986.0	182.0	0.0	0.0	65.0	35.0	4.0	16.0	1.0	0.0	0.0	7.8879999999999999	1.9958262560765265	29.0	12.0	121.0	1941142.0
30	2222155.5	1823681.5	127467.0	226669.5	182.0	0.0	0.0	162.0	103.0	16.5	126.0	1.0	0.0	0.0	23.668999999999997	1.9756045119152761	131.5	75.5	408.5	4400155.5
31	7573656.0	1341471.0	90598.0	222120.0	42469.0	0.0	0.0	169.0	82.0	14.0	30.0	2.0	0.0	0.0	13.715	2.3598247005411124	44.0	19.0	297.0	9270314.0
32	1765271.5	408483.5	59099.0	56356.5	0.0	0.0	0.0	99.5	28.0	10.0	10.0	0.0	0.0	0.0	8.0700000000000003	2.5449623651441295	26.0	10.0	147.5	2289210.5
33	208234.0	139645.0	256082.0	5472.0	0.0	0.0	0.0	7.0	6.0	7.0	4.0	0.0	0.0	0.0	7.9970000000000008	1.4145423375393744	9.0	6.0	24.0	609433.0
34	2046667.5	351071.0	73994.0	100992.5	182.0	0.0	0.0	45.0	17.0	7.0	7.0	1.0	0.0	0.0	3.6999999999999997	5.7858645239929354	9.5	4.0	77.0	2572907.0
