	others_app_size	others_app_number	others_text_size	others_text_number
0	524685.0	10.0	18461.0	2.0
1	670748.0	7.0	0.0	2.0
2	375260.0	11.0	4932.0	2.0
3	213907.5	4.0	0.0	0.0
4	584252.0	6.0	0.0	0.0
5	493999.0	48.0	0.0	0.0
6	465565.0	8.0	0.0	0.0
7	1112471.0	7.0	1041.0	3.0
8	0.0	0.0	0.0	0.0
9	1053385.0	12.0	0.0	0.5
10	369464.0	4.0	0.0	1.0
11	1010636.0	6.0	0.0	2.0
12	443499.0	8.0	0.0	1.5
13	369756.0	5.0	58.0	1.0
14	369464.0	4.0	58.0	1.0
15	434002.0	7.0	58.0	1.0
16	371236.0	11.0	71896.0	1.0
17	369464.0	4.0	58.0	1.0
18	538244.0	10.0	20.0	1.0
19	369464.0	5.0	0.0	0.0
20	369464.0	4.0	58.0	1.0
21	376721.5	13.0	0.0	0.0
22	369838.0	7.0	106724.0	2.0
23	688120.5	13.0	0.0	0.0
24	402952.0	5.0	5386.0	2.0
25	421580.0	5.0	58.0	1.0
26	753279.0	7.0	0.0	0.0
27	575988.0	129.0	126.0	1.5
28	375198.0	11.0	66135.0	1.0
29	391764.0	6.0	49646.0	1.0
30	454728.0	13.0	5951.0	5.0
31	375016.0	6.0	18048.0	3.0
32	369464.0	4.0	0.0	0.0
33	424684.0	5.0	0.0	0.0
34	213884.0	4.0	66624.0	1.0
