	others_app_size	others_app_number	others_text_size	others_text_number
0	530510.5	12.0	18461.0	2.0
1	673429.0	9.0	0.0	2.0
2	379040.0	14.0	4932.0	3.0
3	2746.5	1.5	0.0	0.0
4	587322.0	9.0	0.0	1.0
5	497040.0	51.0	58.0	1.0
6	468474.5	10.0	0.0	0.5
8	0.0	0.0	0.0	0.0
9	1056171.0	14.0	0.0	1.0
10	372203.0	5.5	0.0	1.0
11	1013390.0	8.0	0.0	2.0
12	445872.0	10.0	0.0	2.0
13	3356.0	4.0	58.0	1.0
14	372174.0	6.0	58.0	1.0
15	436722.0	8.5	58.0	1.0
16	373995.0	13.0	71896.0	1.0
17	372329.0	8.0	86.0	11.5
18	534944.0	8.5	20.0	1.0
19	372234.0	7.0	0.0	1.5
20	430441.0	9.0	58.0	5.0
21	379536.5	15.0	0.0	0.0
22	372535.0	8.5	106724.0	2.0
23	690989.0	15.0	0.0	0.0
24	405738.0	7.0	5386.0	2.0
25	424334.0	7.0	58.0	3.0
26	756033.0	9.0	0.0	0.0
27	578789.0	129.0	126.0	3.0
28	375272.0	13.0	66135.0	1.0
29	394842.0	8.0	49647.0	1.0
31	377483.0	8.0	18068.0	4.0
32	372203.0	6.0	0.0	0.0
33	1671400.0	17.0	0.0	0.0
34	372218.0	6.0	66624.0	1.0
