	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	3030927.5	369524.0	26203.0	55136.0	27324.0	0.0	0.0	92.5	29.0	2.0	10.0	9.0	0.0	0.0	5.1475	0.662903073137	18.5	8.0	142.5	3509114.5	530510.5	12.0	18461.0	2.0
1	692265.5	790223.0	297501.0	77296.0	0.0	0.0	0.0	53.5	27.0	7.0	17.5	0.0	0.0	0.0	7.393	0.567960812359	25.5	12.0	105.0	1857285.5	673429.0	9.0	0.0	2.0
2	1057932.0	1053411.5	37153.0	93174.0	182.0	0.0	0.0	76.0	45.0	9.0	33.5	1.0	0.0	0.0	11.7025	1.43815376438	39.5	15.0	164.5	2241852.5	379040.0	14.0	4932.0	3.0
3	450900.5	59688.0	9236.0	41103.5	0.0	0.0	0.0	47.0	9.0	2.0	9.0	0.0	0.0	0.0	3.121	1.15790767659	13.0	4.0	67.0	560928.0	2746.5	1.5	0.0	0.0
4	1371540.0	1018907.5	33561.5	764202.5	2655.5	0.0	0.0	92.0	51.0	3.5	93.0	2.0	0.0	0.0	19.0295	5.24012109964	75.0	38.5	241.5	3190867.0	587322.0	9.0	0.0	1.0
5	1312213.0	1204529.5	115185.0	172940.5	0.0	0.0	0.0	189.0	85.0	3.0	68.0	0.0	0.0	0.0	14.8255	1.38150067295	70.5	41.0	345.0	2804868.0	497040.0	51.0	58.0	1.0
6	2754311.0	403765.0	51611.0	153258.0	3618.0	0.0	0.0	159.0	33.5	5.0	33.5	2.0	0.0	0.0	9.795	5.41724668161	57.0	29.5	233.0	3366563.0	468474.5	10.0	0.0	0.5
8	0.0	0.0	0.0	71049.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.2725	0.129781968605	2.0	1.0	1.0	71049.0	0.0	0.0	0.0	0.0
9	579772.0	497609.5	93780.0	123907.0	182.0	0.0	0.0	67.0	45.5	3.0	29.0	1.0	0.0	0.0	10.377	1.18518424201	43.5	20.0	145.5	1295250.5	1056171.0	14.0	0.0	1.0
10	670764.0	425576.5	87981.0	102736.5	182.0	0.0	0.0	67.0	29.5	3.0	32.0	1.0	0.0	0.0	8.923	1.141261035	37.0	18.0	132.5	1287240.0	372203.0	5.5	0.0	1.0
11	2825182.0	594770.5	47855.0	229628.5	182.0	0.0	0.0	119.5	24.0	12.0	23.5	1.0	0.0	0.0	8.0195	4.70831116219	21.0	8.5	180.0	3697618.0	1013390.0	8.0	0.0	2.0
12	473028.5	823986.0	115097.5	254965.5	2334.0	0.0	0.0	50.0	55.5	18.5	37.5	2.5	0.0	0.0	8.882	2.29213703506	31.5	14.0	164.0	1669411.5	445872.0	10.0	0.0	2.0
13	154960.0	30726.0	0.0	11352.0	0.0	0.0	0.0	4.0	3.0	0.0	4.0	0.0	0.0	0.0	2.928	0.1321073782	12.0	6.0	11.0	197038.0	3356.0	4.0	58.0	1.0
14	951608.0	750729.0	63817.0	122540.0	6465.0	0.0	0.0	82.5	42.5	6.0	24.0	1.0	0.0	0.0	7.2685	1.03314434344	40.0	18.5	156.0	1895159.0	372174.0	6.0	58.0	1.0
15	1899929.5	508485.0	76862.0	46151.0	91.0	0.0	0.0	74.5	38.0	10.0	18.0	0.5	0.0	0.0	9.0345	2.66025165339	32.5	14.0	141.0	2531518.5	436722.0	8.5	58.0	1.0
16	957324.0	921699.0	62790.0	57745.0	0.0	0.0	0.0	114.5	31.0	4.0	24.5	0.0	0.0	0.0	9.317	1.56982861768	34.0	14.0	174.0	1999558.0	373995.0	13.0	71896.0	1.0
17	465881.0	1055691.5	37819.0	114406.5	182.0	0.0	0.0	146.5	49.5	3.0	115.0	1.0	0.0	0.0	21.197	1.25212403913	142.5	97.0	315.0	1673980.0	372329.0	8.0	86.0	11.5
18	1162552.0	485325.0	809193.0	103780.0	0.0	0.0	0.0	83.5	29.5	5.0	32.0	0.0	0.0	0.0	9.6255	1.01278597813	44.0	20.5	150.0	2560850.0	534944.0	8.5	20.0	1.0
19	1383514.5	1618836.0	122985.0	266958.0	182.0	0.0	0.0	186.5	66.0	22.5	64.5	1.0	0.0	0.0	13.9415	1.3578960518	57.5	36.0	340.5	3392475.5	372234.0	7.0	0.0	1.5
20	3546571.0	1362079.5	112945.5	286147.5	0.0	0.0	0.0	234.0	82.5	13.5	169.0	0.0	0.0	0.0	24.8825	1.50401711572	110.0	73.0	499.0	5307743.5	430441.0	9.0	58.0	5.0
21	1161820.0	992269.0	48051.0	48446.0	0.0	0.0	0.0	144.0	39.0	7.0	26.0	0.0	0.0	0.0	7.3205	2.67526016258	47.5	21.0	216.0	2250586.0	379536.5	15.0	0.0	0.0
22	2000402.0	214379.5	0.0	157195.5	0.0	0.0	0.0	69.0	17.0	0.0	14.0	0.0	0.0	0.0	5.6925	0.850424958109	22.5	8.0	100.0	2371977.0	372535.0	8.5	106724.0	2.0
23	871923.0	485154.0	31648.0	8871.0	0.0	0.0	0.0	57.0	20.0	3.0	9.0	0.0	0.0	0.0	9.788	4.23330781555	27.0	7.0	89.0	1397596.0	690989.0	15.0	0.0	0.0
24	684672.0	225968.0	21819.0	57664.0	388.0	0.0	0.0	116.0	23.0	3.0	6.0	1.0	0.0	0.0	6.695	0.428328121411	32.0	12.0	149.0	990511.0	405738.0	7.0	5386.0	2.0
25	2137601.0	693436.0	61992.0	65384.0	182.0	0.0	0.0	85.0	60.0	13.0	46.0	1.0	0.0	0.0	12.053	1.3837119259	47.0	21.0	205.0	2958595.0	424334.0	7.0	58.0	3.0
26	564335.0	887229.0	29231.0	404338.0	182.0	0.0	0.0	89.0	46.0	3.0	41.0	1.0	0.0	0.0	13.124	1.47517639208	52.0	21.0	180.0	1885315.0	756033.0	9.0	0.0	0.0
27	1397987.0	1374533.0	77746.0	215721.0	182.0	0.0	0.0	129.0	59.0	7.0	73.0	1.0	0.0	0.0	15.599	1.22942018854	56.0	31.0	269.0	3066169.0	578789.0	129.0	126.0	3.0
28	917128.0	1387073.0	45074.0	280744.0	0.0	0.0	0.0	91.0	34.0	4.0	23.0	0.0	0.0	0.0	8.164	5.0340332716	37.0	17.0	152.0	2630019.0	375272.0	13.0	66135.0	1.0
29	907976.0	783688.0	31512.0	49715.0	182.0	0.0	0.0	62.0	35.0	6.0	19.0	1.0	0.0	0.0	6.324	0.687469212669	30.0	11.0	123.0	1773073.0	394842.0	8.0	49647.0	1.0
31	7693693.0	1572914.0	111678.0	223353.0	42491.0	0.0	0.0	174.0	87.0	15.0	39.0	2.0	0.0	0.0	14.08	1.59616275831	48.0	20.0	317.0	9644129.0	377483.0	8.0	18068.0	4.0
32	1793117.0	409379.0	59091.0	56854.0	0.0	0.0	0.0	100.0	28.0	10.0	14.0	0.0	0.0	0.0	6.73	0.780234161607	29.0	9.0	152.0	2318441.0	372203.0	6.0	0.0	0.0
33	3298718.0	757695.0	62969.0	170372.0	0.0	0.0	0.0	75.0	33.0	8.0	11.0	0.0	0.0	0.0	26.536	1.24676389995	28.0	16.0	127.0	4289754.0	1671400.0	17.0	0.0	0.0
34	1925448.0	384696.0	75156.0	100311.0	182.0	0.0	0.0	43.0	19.0	8.0	4.0	1.0	0.0	0.0	4.816	0.637532296101	10.0	3.0	75.0	2485793.0	372218.0	6.0	66624.0	1.0
