	others_app_size	others_app_number	others_text_size	others_text_number
0	369511.0	5.0	0.0	0.0
1	188065.5	6.0	0.0	0.0
2	374023.0	8.0	77160.0	1.0
4	373420.0	8.0	49629.0	4.0
6	370412.0	8.0	0.0	0.0
7	379943.5	9.0	0.0	0.0
9	372056.0	7.0	45724.0	5.0
10	371910.5	8.0	1456.0	1.5
12	464266.0	10.5	0.0	1.0
13	373821.0	8.0	0.0	3.0
16	369513.0	6.0	0.0	0.5
17	2460615.5	17.0	0.0	2.0
18	381809.0	12.0	0.0	0.0
19	370173.5	7.0	0.0	0.0
21	373464.0	10.0	0.0	2.0
24	382416.0	85.0	212.0	14.0
26	369511.0	5.0	5408.0	2.0
28	374219.0	6.5	0.0	0.0
