	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	1033167.5	161482.0	29521.0	188236.0	0.0	0.0	0.0	45.0	8.0	5.0	10.0	0.0	0.0	0.0	3.5519999999999996	1.9866963154946458	9.0	3.0	68.0	1412406.5
1	992947.5	733984.0	0.0	79315.5	0.0	0.0	0.0	55.0	20.0	0.0	7.0	0.0	0.0	0.0	5.4284999999999997	2.4693951263416718	16.5	4.0	82.0	1806247.0
2	449865.0	63684.0	22891.0	7229.0	0.0	0.0	0.0	17.0	9.0	2.0	1.0	0.0	0.0	0.0	3.5084999999999997	1.1060186978527986	8.0	2.0	29.0	543669.0
3	3013932.0	157540.0	17148.0	148715.0	0.0	0.0	0.0	160.5	24.0	2.0	19.0	0.0	0.0	0.0	3.7729999999999997	0.69356399127982415	17.0	6.0	205.5	3337335.0
4	4862314.0	561766.5	80981.0	66464.5	35911.5	0.0	0.0	183.0	39.0	6.0	18.0	4.0	0.0	0.0	6.5510000000000002	1.6757588281134013	25.5	9.0	250.0	5607437.5
5	571872.0	111897.0	15874.0	17530.5	0.0	0.0	0.0	87.5	17.0	1.0	3.0	0.0	0.0	0.0	1.9715	1.2015905667073123	15.5	4.0	108.5	717173.5
6	1686336.0	719436.0	153715.0	74859.0	0.0	0.0	0.0	91.0	30.0	4.0	4.0	0.0	0.0	0.0	1.4259999999999999	1.0993816671202046	9.0	4.0	129.0	2634346.0
7	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.2934999999999999	0.37789755225457605	2.5	1.5	2.0	248.0
8	3625449.5	993233.5	138434.0	96013.5	546.0	0.0	0.0	161.5	56.0	9.0	16.0	2.0	0.0	0.0	9.4009999999999998	2.4011917895078687	23.0	6.0	244.5	4853676.5
9	1938961.5	344316.5	20086.0	87683.0	182.0	0.0	0.0	115.5	22.0	2.0	27.0	1.0	0.0	0.0	8.7360000000000007	1.5215981598306432	20.0	6.0	167.5	2391229.0
10	2668069.0	662438.0	99605.5	89729.0	0.0	0.0	0.0	53.5	27.5	4.0	12.0	0.0	0.0	0.0	6.5614999999999997	1.4091695568667386	21.0	6.0	97.0	3519841.5
11	652752.0	240958.0	38193.0	46697.0	0.0	0.0	0.0	69.0	10.0	2.0	2.0	0.0	0.0	0.0	2.6475	0.52166331095832297	14.0	4.0	83.0	978600.0
12	7891602.5	389851.0	188461.0	203354.5	0.0	0.0	0.0	138.5	24.0	13.0	24.0	0.0	0.0	0.0	7.1440000000000001	3.1291977582121584	22.0	11.0	199.5	8673269.0
13	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.23399999999999999	0.030980639115421746	1.0	1.0	1.0	66.0
14	1041497.5	928524.5	108989.0	129507.0	182.0	0.0	0.0	87.5	66.0	10.0	42.0	1.0	0.0	0.0	12.193000000000001	1.3206603987736163	53.5	21.5	206.5	2208700.0
15	0.0	0.0	0.0	484.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.26050000000000001	0.04540275322048213	1.0	1.0	1.0	484.0
16	1737577.0	280056.5	69436.0	127135.5	0.0	0.0	0.0	112.0	14.0	1.0	4.0	0.0	0.0	0.0	4.0890000000000004	1.0111733975931132	14.0	4.0	131.0	2214205.0
17	2749743.5	200945.5	455977.0	174910.0	0.0	0.0	0.0	124.0	19.0	10.0	6.0	0.0	0.0	0.0	3.6665000000000001	1.5122371374886943	17.0	8.5	159.0	3581576.0
18	5178452.0	1160443.0	60906.0	59359.5	0.0	0.0	0.0	142.0	42.0	3.0	14.0	0.0	0.0	0.0	11.5505	1.657632724701102	32.5	11.5	201.0	6459160.5
19	1091352.0	230136.0	4107.0	66171.0	182.0	0.0	0.0	68.5	12.0	3.0	13.0	1.0	0.0	0.0	5.3120000000000003	2.1176954667751451	17.0	6.0	97.5	1391948.0
20	2928039.0	250672.5	38637.0	11333.5	0.0	0.0	0.0	113.5	27.0	5.0	7.0	0.0	0.0	0.0	3.6070000000000002	1.2976081881677537	18.0	7.0	152.5	3228682.0
21	6206947.0	646231.0	23648.0	86760.0	182.0	0.0	0.0	93.0	21.0	10.0	25.0	1.0	0.0	0.0	7.0720000000000001	0.66726989375447709	25.0	8.0	150.0	6963768.0
22	7552384.0	500262.0	184052.0	63441.0	0.0	0.0	0.0	103.0	26.0	11.0	21.0	0.0	0.0	0.0	7.4299999999999997	0.75517603213169637	23.0	9.0	161.0	8300139.0
23	4458204.0	554938.0	146607.0	148217.0	0.0	0.0	0.0	171.0	22.0	3.0	6.0	0.0	0.0	0.0	5.6539999999999999	1.9324490953639217	17.0	6.0	202.0	5307966.0
24	204578.0	282441.0	12071.0	62130.0	182.0	0.0	0.0	43.0	19.0	4.0	5.0	1.0	0.0	0.0	5.8920000000000003	1.5658220970168266	20.0	7.0	72.0	561402.0
25	1854850.0	250585.0	0.0	188883.0	0.0	0.0	0.0	126.0	20.0	0.0	13.0	0.0	0.0	0.0	5.9249999999999998	4.5712381363002113	22.0	9.0	159.0	2294318.0
26	3269705.0	624080.0	95124.0	218959.0	0.0	0.0	0.0	124.0	17.0	11.0	14.0	0.0	0.0	0.0	6.2430000000000003	1.4030047121168991	17.0	7.0	166.0	4207868.0
27	2352727.0	853744.5	99469.5	96284.5	182.0	0.0	0.0	42.5	28.0	11.0	26.0	1.0	0.0	0.0	7.5285000000000002	1.2620110686915544	26.0	9.0	108.5	3402407.5
28	0.0	0.0	0.0	66359.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.28799999999999998	0.08746018494502103	1.0	1.0	2.0	66359.0
29	4679904.0	295907.0	202695.0	199282.0	0.0	0.0	0.0	118.0	14.0	4.0	5.0	0.0	0.0	0.0	3.9509999999999996	0.86979867118492515	12.0	8.0	141.0	5377788.0
