	others_app_size	others_app_number	others_text_size	others_text_number
0	1526.0	2.0	0.0	0.0
1	420553.0	11.0	0.0	0.0
2	3265.5	12.0	0.0	0.0
3	296720.5	6.0	0.0	0.0
4	482909.0	7.5	0.0	0.0
5	54.0	1.0	20.0	1.0
6	54.0	1.0	31008.0	2.0
7	54.0	1.0	0.0	0.0
8	2640260.0	20.0	0.0	1.0
9	647025.0	6.0	0.0	0.0
10	370835.0	5.5	1150.0	2.0
11	54.0	9.0	0.0	1.0
12	370869.5	8.0	0.0	0.0
13	0.0	0.0	0.0	0.0
14	445212.5	8.0	0.0	0.5
15	0.0	0.0	0.0	0.0
16	437736.0	17.0	0.0	0.0
17	441830.0	7.0	0.0	0.0
18	402159.0	11.0	76822.0	1.0
19	369518.0	5.0	0.0	0.0
20	209.0	1.5	0.0	0.0
21	2572229.0	7.0	0.0	0.0
22	842036.0	10.0	0.0	0.0
23	368622.0	6.0	100948.0	3.0
24	370835.0	7.5	0.0	0.0
25	370599.0	6.0	0.0	0.0
26	369585.5	9.5	0.0	0.0
27	505483.0	10.5	0.0	0.0
28	0.0	0.0	0.0	0.0
29	561865.5	5.0	0.0	0.0
