	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	81533.0	32173.0	34140.0	65294.0	0.0	0.0	0.0	14.0	7.0	6.0	3.0	0.0	0.0	0.0	1.703	0.41700593595	6.0	3.0	30.0	213140.0	0.0	0.0	0.0	0.0
1	914714.0	1580570.0	240755.0	196557.0	182.0	0.0	0.0	116.0	83.0	10.0	46.0	1.0	0.0	0.0	14.814	1.31533730359	86.0	36.0	256.0	2932778.0	377801.0	18.0	497062.0	15.0
2	383508.5	974727.5	297760.5	130878.5	0.0	0.0	0.0	31.0	35.5	7.5	21.0	0.0	0.0	0.0	10.383	0.761628390723	37.5	20.0	95.0	1786875.0	670748.0	7.0	4794.0	6.0
3	1172386.0	833372.0	154588.0	70933.0	0.0	0.0	0.0	77.0	35.0	4.0	5.0	0.0	0.0	0.0	8.011	0.647743852742	29.0	14.0	121.0	2231279.0	369773.0	23.0	147927.0	12.0
4	726655.0	2284733.0	137067.0	248387.0	0.0	0.0	0.0	95.0	119.0	12.0	41.0	0.0	0.0	0.0	13.363	1.35569842599	73.0	34.0	267.0	3396842.0	440162.0	11.0	169424.0	9.0
5	209894.0	1289559.5	77597.0	168281.5	384.0	0.0	0.0	63.5	81.0	1.0	42.0	2.0	0.0	0.0	13.893	5.66584708779	81.5	45.0	189.5	1745716.0	825099.0	20.0	124056.5	5.0
6	4139.0	134793.0	2574.0	154961.0	3665.0	0.0	0.0	7.0	8.0	1.0	4.0	2.0	0.0	0.0	2.631	0.863802446551	12.0	8.0	22.0	300132.0	80362.0	5.0	0.0	0.0
7	132271.0	630113.0	773170.0	85879.0	0.0	0.0	0.0	10.0	27.0	4.0	5.0	0.0	0.0	0.0	6.141	2.80864751952	28.0	17.0	46.0	1621433.0	370232.0	7.0	0.0	4.0
8	956920.0	704304.0	0.0	56315.0	0.0	0.0	0.0	85.0	24.0	0.0	27.0	0.0	0.0	0.0	6.982	1.52946762302	42.0	22.0	136.0	1717539.0	442398.0	6.0	0.0	0.0
9	421664.0	204765.0	155694.0	18277.0	2583.0	0.0	0.0	7.0	14.0	3.0	3.0	2.0	0.0	0.0	5.139	0.868804670542	11.0	6.0	29.0	802983.0	417840.0	7.0	0.0	0.0
10	432861.5	689731.5	174780.0	125019.5	0.0	0.0	0.0	75.5	52.0	5.0	7.0	0.0	0.0	0.0	15.34	3.33734461951	41.5	23.5	139.5	1422392.5	383029.0	9.0	187616.0	4.0
11	918479.0	1103694.0	350677.0	134419.0	0.0	0.0	0.0	87.0	75.0	7.0	26.0	0.0	0.0	0.0	11.235	2.2055354827	68.0	31.0	195.0	2507269.0	369692.0	6.0	0.0	1.0
12	58529.0	285907.0	10437.0	24719.0	12758.0	0.0	0.0	9.0	14.0	1.0	3.0	4.0	0.0	0.0	3.702	0.535034785993	21.0	13.0	31.0	392350.0	425904.0	6.0	0.0	6.0
13	1199573.0	967469.0	158857.0	179040.0	3915.0	0.0	0.0	69.0	51.0	5.0	19.0	3.0	0.0	0.0	8.347	2.37172628175	67.0	30.0	147.0	2508854.0	449785.0	17.0	0.0	1.0
14	2074845.0	417573.0	24209.0	43326.0	14951.0	0.0	0.0	71.0	18.0	1.0	5.0	22.0	0.0	0.0	8.472	2.01472151064	17.0	6.0	117.0	2574904.0	794273.0	14.0	1736.0	2.0
15	158852.0	1610339.0	15778.0	159569.0	5466.0	0.0	0.0	70.0	75.0	5.0	36.0	1.0	0.0	0.0	13.482	1.738465678	95.0	56.0	187.0	1950004.0	642377.0	15.0	49428.0	5.0
16	76898.0	898445.0	26059.0	125769.0	7680.0	0.0	0.0	67.0	42.0	1.0	63.0	1.0	0.0	0.0	9.507	2.62202830733	75.0	45.0	174.0	1134851.0	389029.0	14.0	0.0	0.0
17	3058846.0	494619.0	188860.0	90771.0	0.0	0.0	0.0	214.0	30.0	17.0	6.0	0.0	0.0	0.0	7.745	2.85249742429	18.0	11.0	267.0	3833096.0	424684.0	6.0	58.0	1.0
18	824087.0	470835.0	29767.0	22165.0	0.0	0.0	0.0	59.0	49.0	1.0	27.0	0.0	0.0	0.0	8.947	1.81032702864	62.0	36.0	136.0	1346854.0	416971.0	11.0	58.0	3.0
19	208746.0	907066.0	309434.0	79365.0	0.0	0.0	0.0	54.0	82.0	4.0	26.0	0.0	0.0	0.0	11.731	2.7560798426	89.0	43.0	166.0	1504611.0	370641.0	8.0	248056.0	9.0
20	88566.5	348440.0	154027.0	1773.0	26564.0	0.0	0.0	22.5	12.5	4.0	6.0	20.0	0.0	0.0	4.8575	1.6452573929	13.5	9.0	65.0	619370.5	440022.0	7.5	0.0	1.0
21	103761.0	164963.0	39974.0	15480.0	1390.0	0.0	0.0	7.0	6.0	2.0	5.0	2.0	0.0	0.0	6.036	3.93133285286	12.0	7.0	22.0	325568.0	378260.0	6.0	0.0	0.0
22	3958981.0	1116709.0	115020.0	105097.0	0.0	0.0	0.0	72.0	78.0	10.0	22.0	0.0	0.0	0.0	9.427	7.54797738735	60.0	30.0	182.0	5295807.0	373483.0	10.0	0.0	0.0
23	197284.0	572625.0	156382.0	80897.0	0.0	0.0	0.0	55.0	35.0	2.0	24.0	0.0	0.0	0.0	7.671	6.07711121065	64.0	35.0	116.0	1007188.0	369464.0	4.0	0.0	2.0
24	1582484.0	382021.0	26450.0	20418.0	243553.0	0.0	0.0	40.0	16.0	3.0	3.0	6.0	0.0	0.0	3.22	3.42048336776	13.0	9.0	68.0	2254926.0	491566.0	7.0	0.0	0.0
25	327193.0	1275436.0	58783.0	169857.0	384.0	0.0	0.0	73.0	80.0	1.0	45.0	2.0	0.0	0.0	14.143	1.85374136848	86.0	50.0	201.0	1831653.0	847167.0	21.0	148859.0	5.0
26	980021.0	344911.0	83972.0	100637.5	0.0	0.0	0.0	70.0	20.0	6.0	12.5	0.0	0.0	0.0	4.571	0.784314350245	18.5	7.0	108.5	1509541.5	422089.0	3.0	0.0	0.0
27	1397763.0	584071.0	38577.0	79386.0	0.0	0.0	0.0	80.0	53.0	41.0	7.0	0.0	0.0	0.0	7.221	0.673363081851	25.0	15.0	181.0	2099797.0	428545.0	10.0	0.0	0.0
28	270152.0	809312.0	791581.0	89536.0	0.0	0.0	0.0	39.0	40.0	4.0	32.0	0.0	0.0	0.0	7.416	0.7162853249	59.0	38.0	115.0	1960581.0	386407.0	9.0	0.0	3.0
29	360933.0	422980.0	71016.0	53279.0	0.0	0.0	0.0	67.5	21.0	2.0	21.5	0.0	0.0	0.0	9.3295	1.00437853142	45.0	25.5	112.0	908208.0	554172.0	21.0	0.0	0.5
30	108891.0	630124.0	773170.0	54316.0	577.0	0.0	0.0	13.0	26.5	4.0	5.0	1.0	0.0	0.0	5.6525	2.89695528745	28.5	17.0	49.5	1567078.0	370287.5	7.5	0.0	4.0
31	24646194.0	224371.0	40070.0	9078.5	0.0	0.0	0.0	26.0	7.0	11.0	4.0	0.0	0.0	0.0	4.646	1.53996134286	7.0	4.0	48.0	24919713.5	184915.0	3.0	173848.0	3.0
32	3129149.5	1094539.5	37863.0	130368.0	0.0	0.0	0.0	177.0	27.5	2.0	12.0	0.0	0.0	0.0	11.8895	2.17578373451	25.0	13.0	218.5	4391920.0	426244.0	5.0	0.0	0.0
33	336402.5	330129.0	237381.5	7705.0	0.0	0.0	0.0	24.0	13.0	7.0	5.0	0.0	0.0	0.0	10.5775	3.1355	24.0	12.0	49.0	911618.0	1188727.5	13.5	3.0	1.5
34	2132036.5	1013686.5	124369.0	120971.5	0.0	0.0	0.0	103.5	39.0	5.0	39.5	0.0	0.0	0.0	10.5315	1.30843943307	69.0	42.0	187.0	3391063.5	522453.0	14.0	0.0	0.0
35	232373.5	1571458.0	84129.0	136054.5	182.0	0.0	0.0	66.5	75.0	15.0	26.0	1.0	0.0	0.0	12.149	2.1052053344	78.5	46.5	183.5	2024197.0	374082.0	8.0	60.0	3.0
36	92965.0	75997.0	48227.0	17180.0	0.0	0.0	0.0	13.0	9.0	2.0	2.0	0.0	0.0	0.0	4.2275	0.823114625979	9.0	6.5	26.0	234369.0	258183.0	12.5	0.0	0.0
