	others_app_size	others_app_number	others_text_size	others_text_number
0	369464.0	4.0	0.0	0.0
1	673011.0	27.5	24811.0	15.5
2	694701.5	21.5	0.0	11.0
3	664687.5	17.0	0.0	0.0
4	370730.5	6.0	0.0	1.0
5	529773.5	21.0	0.0	0.0
6	473489.5	20.0	917.0	10.0
7	472253.5	13.0	0.0	0.0
8	56629.5	2.5	0.0	0.0
9	436105.0	8.0	25034.0	1.5
10	383729.5	15.5	17940.5	10.0
11	521515.0	8.0	0.0	0.0
12	426800.5	18.0	100826.0	4.0
13	369464.0	4.0	118290.0	7.0
14	370484.0	8.0	0.0	0.0
15	380041.0	10.0	156944.0	6.0
16	382821.0	24.0	0.0	0.0
17	511966.0	24.0	125113.5	5.5
18	401259.0	24.0	1286.0	1.0
19	517806.0	31.5	40987.0	7.0
20	382615.0	13.0	64088.0	5.0
21	457994.5	23.0	792.0	6.0
22	683820.5	24.0	201211.5	14.0
23	413937.5	20.5	5638.5	2.0
24	1134915.0	12.0	0.0	4.0
25	638309.0	17.0	0.0	0.0
26	370537.0	8.0	425.5	2.0
27	474107.0	24.0	705596.5	23.0
28	654755.0	16.0	696.0	7.0
29	0.0	0.0	0.0	0.0
30	465565.0	8.0	0.0	1.0
31	443602.0	10.0	0.0	3.0
32	675847.0	23.0	0.0	0.0
33	471056.5	11.0	7011.0	1.0
34	486488.0	17.0	0.0	0.0
35	934249.5	11.5	23929.5	9.0
36	0.0	0.0	0.0	0.0
37	409355.0	7.0	0.0	1.0
38	581441.0	29.0	40987.0	6.0
39	369464.0	4.0	0.0	0.0
40	213886.5	4.0	6859.0	7.0
41	676178.0	28.0	0.0	1.0
42	1019263.5	33.0	0.0	0.0
43	642378.0	15.0	1.0	4.0
44	0.0	0.0	0.0	0.0
45	439679.5	12.0	0.0	0.0
46	444778.5	15.0	405896.5	13.5
47	393257.0	7.0	1.0	0.5
48	0.0	0.0	0.0	0.0
49	383411.0	13.5	319.5	2.0
50	722249.5	24.0	0.0	4.5
51	389032.0	14.0	0.0	1.0
52	525276.0	9.0	0.0	0.0
53	526532.0	20.0	0.0	0.0
54	465032.5	15.0	0.0	1.0
55	524968.0	14.0	0.0	0.0
56	0.0	0.0	0.0	0.0
57	498851.0	33.5	0.0	0.0
58	748007.0	33.5	2.0	1.0
59	369464.0	4.0	0.0	0.0
60	689363.5	19.0	26.0	3.0
61	437129.0	8.0	693.0	2.0
62	466957.5	9.0	0.0	0.0
63	376392.0	13.0	99884.0	5.0
64	417285.5	13.0	9726.0	11.0
65	639673.5	42.0	0.0	0.0
66	371862.0	6.0	58.0	1.0
67	372452.0	9.0	1389.0	3.0
68	386169.5	19.0	99483.5	4.0
69	392237.0	12.0	0.0	0.0
70	51307.0	20.0	0.0	0.0
71	768275.0	38.0	2.0	1.0
