	others_app_size	others_app_number	others_text_size	others_text_number
0	379816.5	18.0	81000.0	16.0
1	471078.5	12.0	58186.5	3.0
2	394293.0	23.5	198491.5	16.5
3	392288.0	23.5	148921.0	14.5
4	508142.5	18.0	297654.0	8.0
5	378420.5	11.0	243845.0	5.0
6	620892.0	43.0	297789.0	8.0
7	530143.0	28.0	198536.0	6.0
8	421987.0	32.0	62552.5	3.0
9	395470.0	31.0	155960.0	6.0
10	373695.5	12.0	1150.0	1.0
11	404246.0	8.0	0.0	0.0
12	649241.0	8.0	0.0	1.0
13	444215.5	8.5	0.0	2.0
14	400934.5	17.5	198415.5	12.0
15	410288.0	28.0	104290.0	6.5
16	388199.0	18.0	99282.0	8.0
17	410077.0	26.5	510568.0	3.0
18	369497.5	6.5	158781.0	5.0
19	565847.5	16.5	49564.5	1.0
20	383884.5	18.0	74457.5	6.5
21	384838.0	17.0	124103.5	8.5
22	369544.0	5.0	0.0	0.0
23	377585.5	8.0	0.0	1.0
24	738201.0	30.0	0.0	0.0
25	447176.0	10.0	49693.0	1.0
26	369466.0	5.0	270.0	3.0
27	433928.0	5.0	0.0	0.0
28	409649.0	7.0	148700.0	3.0
29	374564.0	16.0	0.0	2.0
30	18855.0	2.0	0.0	0.0
31	374495.0	15.0	0.0	1.0
