	others_app_size	others_app_number	others_text_size	others_text_number
0	382713.0	19.0	80911.0	16.0
1	473862.0	14.0	7114.0	7.0
2	399916.0	34.5	49636.0	11.0
3	400786.0	35.0	49639.0	11.5
4	508911.5	19.0	297747.5	8.0
5	381533.5	13.0	243845.0	5.0
6	616437.5	44.0	248186.0	7.0
7	530786.5	29.5	198537.0	6.0
8	408201.5	33.0	63529.0	8.0
9	399467.0	36.0	105749.0	9.0
10	375036.0	13.5	1150.0	5.0
11	37658.5	6.5	0.0	0.0
12	650609.0	9.5	297248.5	7.0
13	446947.5	10.0	99145.5	4.0
14	397106.0	19.0	148892.0	12.0
15	420803.0	37.0	105339.5	10.0
16	393196.5	29.5	0.0	4.0
17	409289.0	31.0	605716.0	9.0
18	369523.0	7.0	158765.0	5.0
19	567226.5	17.5	49564.0	1.0
20	387907.0	18.5	74458.0	5.5
21	395173.5	30.0	0.0	4.0
22	370912.0	6.5	0.0	0.0
23	382189.0	17.0	0.0	1.0
24	740991.0	32.0	447024.0	9.0
25	449154.0	9.0	99299.0	2.0
26	369517.0	6.0	270.0	3.0
27	436702.0	7.0	0.0	0.0
28	412319.5	8.0	123923.0	2.5
29	377365.5	19.5	0.0	6.0
30	18647.5	2.5	0.0	0.0
31	377294.5	18.5	0.0	5.5
