	others_app_size	others_app_number	others_text_size	others_text_number
0	293075.0	6.0	0.0	1.0
1	372376.5	7.0	0.0	2.0
2	413879.0	9.0	87.0	3.0
3	29187.0	4.0	24120.0	3.0
4	369487.5	4.5	58.0	1.0
5	0.0	0.0	0.0	0.0
6	372145.0	5.0	58.0	1.0
7	450055.0	14.0	1069.0	3.0
8	47.0	1.0	0.0	0.0
9	3193.0	12.0	0.0	1.0
10	215284.5	6.0	58.0	1.0
11	218812.5	7.5	0.0	1.0
13	67458.0	4.0	0.0	0.0
14	310.0	2.0	58.0	1.0
15	541461.0	8.0	32425.0	27.0
16	390246.0	8.0	0.0	0.0
17	421868.0	12.0	0.0	0.0
18	0.0	0.0	0.0	0.0
19	3016.0	3.0	0.0	0.0
20	369464.0	4.0	0.0	0.0
21	357.0	1.0	0.0	0.0
22	2991.0	3.0	0.0	0.0
23	247.0	2.0	0.0	0.0
24	370817.5	5.0	0.0	0.0
25	47.0	1.0	0.0	0.0
26	2991.0	3.0	2181.0	6.0
27	369487.5	4.5	0.0	0.0
28	47.0	1.0	1050.0	2.0
29	357.0	2.0	0.0	1.0
