	red_number_frac_x	red_time_frac_x	red_number_frac_y	red_time_frac_y	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	0.0482456140351	0.0278324350529	0.0482456140351	0.0278324350529	1343501.0	454911.0	15487.0	182005.0	0.0	0.0	0.0	152.0	32.0	2.0	33.0	0.0	0.0	0.0	7.064	2.18586540198	47.0	16.0	219.0	1995904.0	293075.0	6.0	0.0	1.0
1	0.00875959079284	0.0252390843427	0.00875959079284	0.0252390843427	953974.5	262691.0	19387.0	239430.0	0.0	0.0	0.0	132.5	43.0	5.0	154.5	0.0	0.0	0.0	7.754	0.919644257308	36.0	19.0	335.0	1475482.5	372376.5	7.0	0.0	2.0
2	0.0230179028133	0.0242278103112	0.0230179028133	0.0242278103112	8304773.0	804769.0	18028.0	264024.0	0.0	0.0	0.0	188.0	124.0	2.0	31.0	0.0	0.0	0.0	10.009	6.03504528198	57.0	30.0	345.0	9391594.0	413879.0	9.0	87.0	3.0
3	0.0226418318524	0.0315836053725	0.0226418318524	0.0315836053725	577764.5	244700.0	7511.0	541604.5	0.0	0.0	0.0	100.5	10.0	2.0	11.0	0.0	0.0	0.0	5.078	1.24814845271	12.0	5.0	123.5	1371580.0	29187.0	4.0	24120.0	3.0
4	0.0185185185185	0.0483320255018	0.0185185185185	0.0483320255018	1345736.0	159282.0	36324.0	139297.0	0.0	0.0	0.0	118.0	31.0	2.0	3.0	0.0	0.0	0.0	7.0195	3.93119231404	22.0	13.0	154.0	1680639.0	369487.5	4.5	58.0	1.0
5	0.0	0.0	0.0	0.0	14421.5	0.0	0.0	62793.5	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.5105	0.103388780823	4.0	1.0	7.0	77215.0	0.0	0.0	0.0	0.0
6	0.0171428571429	0.0520923677363	0.0171428571429	0.0520923677363	4573033.0	151427.0	29117.0	31482.0	0.0	0.0	0.0	103.0	14.0	2.0	47.0	0.0	0.0	0.0	6.11	0.904613975375	19.0	8.0	166.0	4785059.0	372145.0	5.0	58.0	1.0
7	0.0441491051573	0.0354399280885	0.0441491051573	0.0354399280885	2227342.0	500222.5	36493.0	289110.5	32810.0	0.0	0.0	167.0	56.0	1.0	81.5	1.0	0.0	0.0	11.937	3.09528036856	55.5	18.5	306.5	3085978.0	450055.0	14.0	1069.0	3.0
8	0.0	0.0	0.0	0.0	2000326.5	214628.0	742.0	61282.5	0.0	0.0	0.0	77.5	23.0	1.0	16.0	0.0	0.0	0.0	2.7455	0.817379648633	9.0	6.0	117.5	2276979.0	47.0	1.0	0.0	0.0
9	0.00506358322223	0.00246197418519	0.00506358322223	0.00246197418519	14444433.0	257569.5	952.0	246281.5	0.0	0.0	0.0	137.0	29.0	1.0	18.0	0.0	0.0	0.0	4.008	1.60095576454	20.5	9.0	185.0	14949236.0	3193.0	12.0	0.0	1.0
10	0.0571994408201	0.0759124352337	0.0571994408201	0.0759124352337	5263441.0	127039.0	0.0	58553.0	0.0	0.0	0.0	68.0	31.0	0.0	6.0	0.0	0.0	0.0	7.7625	2.41511699704	26.0	11.0	105.0	5449033.0	215284.5	6.0	58.0	1.0
11	0.0115384615385	0.00955049058255	0.0115384615385	0.00955049058255	2027107.5	670476.5	5545.0	169480.0	0.0	0.0	0.0	187.5	31.0	3.0	26.5	0.0	0.0	0.0	6.2885	4.78868694007	35.0	20.0	248.0	2872609.0	218812.5	7.5	0.0	1.0
13	0.0	0.0	0.0	0.0	277764.0	55935.0	4593.0	14167.0	0.0	0.0	0.0	10.0	6.0	1.0	9.0	0.0	0.0	0.0	1.679	0.884738630582	9.0	3.0	26.0	352459.0	67458.0	4.0	0.0	0.0
14	0.027027027027	0.0992836026219	0.027027027027	0.0992836026219	2785036.0	77782.0	4682.0	24760.0	0.0	0.0	0.0	55.0	7.0	2.0	3.0	0.0	0.0	0.0	6.1	4.69034588737	13.0	14.0	67.0	2892260.0	310.0	2.0	58.0	1.0
15	0.0266666666667	0.0138963121325	0.0266666666667	0.0138963121325	2444578.0	191347.0	0.0	229818.0	0.0	0.0	0.0	152.0	46.0	0.0	55.0	0.0	0.0	0.0	8.294	0.911746675344	46.0	16.0	253.0	2865743.0	541461.0	8.0	32425.0	27.0
16	0.018779342723	0.0150219181011	0.018779342723	0.0150219181011	3601767.0	173578.0	15819.0	58864.0	0.0	0.0	0.0	146.0	43.0	2.0	14.0	0.0	0.0	0.0	6.395	1.17607879555	37.0	15.0	205.0	3850028.0	390246.0	8.0	0.0	0.0
17	0.0194805194805	0.029999680174	0.0194805194805	0.029999680174	1192251.0	159798.0	29733.0	84531.0	0.0	0.0	0.0	113.0	17.0	2.0	7.0	0.0	0.0	0.0	7.441	0.50969119191	19.0	8.0	139.0	1466313.0	421868.0	12.0	0.0	0.0
18	0.5	0.529761904762	0.5	0.529761904762	0.0	0.0	0.0	438.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.445	0.0423025551573	2.0	2.0	2.0	438.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.0	0.0	1904088.0	151980.0	7614.0	20333.0	0.0	0.0	0.0	86.0	5.0	6.0	1.0	0.0	0.0	0.0	4.491	1.52039161622	6.0	3.0	98.0	2084015.0	3016.0	3.0	0.0	0.0
20	0.00943396226415	0.00102053833397	0.00943396226415	0.00102053833397	1167589.0	284521.0	11890.0	39909.0	182.0	0.0	0.0	57.0	23.0	3.0	16.0	1.0	0.0	0.0	9.285	1.4661262725	21.0	7.0	100.0	1504091.0	369464.0	4.0	0.0	0.0
21	0.0138888888889	0.0091295450968	0.0138888888889	0.0091295450968	874657.0	118981.0	6847.0	23635.0	0.0	0.0	0.0	46.0	24.0	1.0	3.0	0.0	0.0	0.0	3.056	0.64565453439	13.0	16.0	74.0	1024120.0	357.0	1.0	0.0	0.0
22	0.00510204081633	0.0465313785089	0.00510204081633	0.0465313785089	8096977.0	72391.0	35391.0	82948.0	0.0	0.0	0.0	177.0	8.0	5.0	3.0	0.0	0.0	0.0	3.787	4.17848452355	12.0	9.0	193.0	8287707.0	2991.0	3.0	0.0	0.0
23	0.0120481927711	0.00700265251989	0.0120481927711	0.00700265251989	559503.0	257939.0	0.0	196324.0	0.0	0.0	0.0	57.0	8.0	0.0	16.0	0.0	0.0	0.0	2.131	0.696760723759	13.0	10.0	81.0	1013766.0	247.0	2.0	0.0	0.0
24	0.0	0.0	0.0	0.0	17826644.0	204549.5	43909.5	211348.0	0.0	0.0	0.0	172.0	17.0	2.5	30.5	0.0	0.0	0.0	5.618	0.841133890782	11.0	5.0	222.0	18286451.0	370817.5	5.0	0.0	0.0
25	0.0	0.0	0.0	0.0	4481369.0	85264.0	5337.0	28866.0	0.0	0.0	0.0	82.0	6.0	2.0	17.0	0.0	0.0	0.0	1.316	0.983357287844	5.0	3.0	107.0	4600836.0	47.0	1.0	0.0	0.0
26	0.00952380952381	0.0115739034279	0.00952380952381	0.0115739034279	1945041.0	205929.0	5614.0	66090.0	0.0	0.0	0.0	134.0	39.0	1.0	26.0	0.0	0.0	0.0	3.984	1.21510036165	26.0	15.0	200.0	2222674.0	2991.0	3.0	2181.0	6.0
27	0.0514361702128	0.0547645802763	0.0514361702128	0.0547645802763	2193088.5	432877.0	8780.0	120317.5	0.0	0.0	0.0	118.5	32.0	3.0	35.5	0.0	0.0	0.0	6.456	1.88817245885	31.0	15.0	189.0	2755063.0	369487.5	4.5	0.0	0.0
28	0.00348432055749	0.0102126079287	0.00348432055749	0.0102126079287	4078048.0	613645.0	110655.0	42973.0	0.0	0.0	0.0	159.0	112.0	4.0	6.0	0.0	0.0	0.0	3.53	0.351567108955	13.0	8.0	281.0	4845321.0	47.0	1.0	1050.0	2.0
29	0.013986013986	0.133640901528	0.013986013986	0.133640901528	644521.0	212458.0	130000.0	58394.0	0.0	0.0	0.0	105.0	23.0	2.0	7.0	0.0	0.0	0.0	4.049	0.807238915481	17.0	13.0	137.0	1045373.0	357.0	2.0	0.0	1.0
