	others_app_size	others_app_number	others_text_size	others_text_number
0	1640.0	4.0	0.0	1.0
1	3494.5	4.5	0.0	2.0
2	69421.0	10.0	87.0	4.0
3	2784.0	3.0	20252.0	2.5
4	61058.0	5.5	58.0	1.0
5	0.0	0.0	0.0	0.0
6	3096.0	3.5	58.0	1.0
7	462197.5	16.0	1068.0	3.0
8	47.0	1.0	0.0	0.0
9	5606.0	12.0	0.0	1.0
10	61058.0	6.0	58.0	1.0
11	6503.5	6.0	0.0	1.0
13	66097.5	3.5	0.0	0.0
14	3064.0	3.0	58.0	1.0
15	190614.0	9.0	32338.0	27.0
16	23416.0	5.0	0.0	0.0
17	55089.5	10.0	0.0	0.0
18	0.0	0.0	0.0	0.0
19	31987.5	4.5	0.0	0.0
20	216618.0	6.0	0.0	0.0
21	47.0	1.0	0.0	0.0
22	2770.0	2.0	0.0	0.0
23	246.0	2.0	0.0	0.0
24	2786.0	2.0	0.0	0.0
25	0.0	0.0	0.0	0.0
26	47.0	1.0	2181.0	6.0
27	357.0	2.0	0.0	0.0
28	47.0	1.0	1050.0	2.0
29	0.0	0.0	0.0	1.0
