	others_app_size	others_app_number	others_text_size	others_text_number
0	282271.0	10.5	0.0	0.0
1	430882.5	12.0	0.0	1.0
2	625002.5	17.0	0.0	4.0
3	13818.5	2.0	0.0	0.0
4	378225.0	10.0	19639.0	2.0
5	237155.5	9.5	0.0	3.0
6	387168.5	9.0	14040.0	2.0
7	383161.0	7.5	18648.5	3.0
8	377577.0	11.0	49755.0	4.0
9	3519.5	3.0	0.0	0.0
10	449292.0	8.0	25095.0	1.0
11	475016.5	31.0	52850.0	8.5
12	376683.0	7.0	55.0	2.0
13	372203.0	6.0	94547.0	4.0
14	1906577.0	5.0	340677.0	13.0
15	371227.0	8.0	0.0	0.0
16	443617.5	20.5	41148.0	19.0
17	670812.0	11.5	0.0	1.0
18	2686.5	1.0	1189.0	1.0
19	372159.0	6.0	0.0	0.0
20	380555.5	5.5	0.0	4.0
21	374690.0	10.0	0.0	8.0
22	371914.5	14.5	24615.5	15.5
23	409075.5	12.0	13818.5	5.0
24	426708.0	26.0	5810.0	1.0
25	374391.0	9.0	325.0	2.0
26	540362.5	9.0	59.0	2.0
27	564545.0	16.0	0.0	1.0
28	407931.0	14.0	4.0	4.0
29	269470.0	5.0	0.0	0.0
30	374947.0	8.0	0.0	0.0
31	71292.0	5.0	0.0	0.0
32	543197.5	18.0	0.0	7.0
33	489911.0	21.0	61069.0	13.0
34	398459.0	24.0	51127.0	13.0
35	347579.5	8.0	948.0	2.0
36	417865.5	8.0	327.0	4.5
37	541574.5	9.5	326.5	2.0
38	460850.0	10.0	99505.0	7.0
39	708581.5	27.0	261833.5	9.0
40	520499.0	16.0	7061.0	3.0
41	0.0	0.0	0.0	0.0
42	377942.0	7.0	125.0	2.0
43	0.0	0.0	0.0	0.0
45	549098.0	13.0	0.0	2.0
46	726256.5	9.5	0.0	0.0
48	624192.0	23.0	91.0	11.0
49	372472.0	7.5	0.0	1.0
50	439362.5	8.5	78.0	3.0
51	378191.0	8.0	0.0	0.0
52	465611.5	23.0	143.0	5.0
53	186281.0	3.5	0.0	0.0
55	350130.5	9.0	948.0	2.0
56	865395.0	10.0	78.0	3.0
57	133293.5	6.0	0.0	0.0
58	1082779.5	19.5	44.5	6.0
59	374224.0	6.0	173676.0	4.0
60	452050.0	8.0	0.0	0.5
61	442353.0	9.0	0.0	0.0
62	374354.5	10.0	0.0	0.0
63	372234.5	6.0	0.0	0.0
64	376012.5	6.0	0.0	0.0
65	2965.5	2.5	0.0	0.0
66	186228.5	3.5	64464.0	3.5
67	372387.5	9.0	58.0	1.0
68	888563.5	15.0	2.0	2.0
69	7873.0	3.0	32989.0	6.0
70	1287701.0	19.0	0.0	0.0
