	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	191554.0	176174.5	1709.0	68632.0	0.0	0.0	0.0	30.5	24.5	1.0	7.0	0.0	0.0	0.5	7.0819999999999999	1.2301677934330748	11.0	5.5	63.5	438069.5
1	593553.5	225996.0	4383.0	67971.0	182.0	0.0	0.0	28.0	21.0	1.0	13.0	1.0	0.0	0.0	5.2140000000000004	1.1016858218203591	16.0	5.0	64.0	892085.5
2	583460.5	209016.0	22305.0	101102.0	0.0	0.0	0.0	81.5	28.5	3.0	6.0	0.0	0.0	0.0	11.4665	3.1709540346715843	23.0	11.0	119.0	915883.5
4	1338238.5	788586.0	66182.0	121675.5	182.0	0.0	0.0	125.0	45.0	5.0	22.0	1.0	0.0	0.0	7.3799999999999999	1.0224203636469689	39.0	22.0	198.0	2314864.0
6	686048.5	433909.0	10538.0	62579.0	91.0	0.0	0.0	62.5	43.0	1.0	28.5	0.5	0.0	0.0	6.2015000000000002	0.90132713262166941	33.5	16.5	135.5	1193165.5
7	937621.0	406287.0	706.0	185019.0	182.0	0.0	0.0	84.5	40.0	1.0	31.0	1.0	0.0	0.0	7.3744999999999994	2.7055108131367724	45.5	20.5	157.5	1529815.0
9	560143.5	880907.0	24256.0	87144.0	182.0	0.0	0.0	103.0	52.5	2.5	44.5	1.0	0.0	0.0	11.132999999999999	3.085926045776211	64.0	25.0	203.5	1552632.5
10	2372373.5	666719.0	242501.0	177162.5	0.0	0.0	0.0	212.0	54.0	3.0	32.5	0.0	0.0	0.0	7.9039999999999999	3.1022292952004693	65.0	36.5	301.5	3458756.0
12	1275165.0	357481.5	19468.0	375963.5	0.0	0.0	0.0	94.5	27.0	4.0	9.0	0.0	0.0	0.0	11.3385	1.9491124646874538	25.5	13.0	134.5	2028078.0
13	983108.5	468476.5	96138.0	35824.0	0.0	0.0	0.0	74.0	37.5	3.0	9.0	0.0	0.0	0.0	10.5745	1.5663771608396235	27.0	8.0	123.5	1583547.0
16	6633067.0	501650.5	15492.0	57491.5	182.0	0.0	0.0	65.0	35.0	4.0	28.0	1.0	0.0	0.0	7.5145	2.2967971634430411	34.5	15.0	133.0	7207883.0
17	581096.0	669714.5	254739.0	74223.0	0.0	0.0	0.0	67.0	41.5	4.0	12.0	0.0	0.0	0.0	12.308999999999999	3.9512402660430563	40.0	18.0	124.5	1579772.5
18	1854783.0	721609.0	45528.0	312994.0	182.0	0.0	0.0	76.5	55.0	6.0	31.5	1.0	0.0	0.0	10.768000000000001	3.2709297699583826	61.5	24.5	170.0	2935096.0
19	2329319.0	548786.0	62511.0	157142.0	967.0	0.0	0.0	59.0	44.0	9.0	60.0	2.0	0.0	0.0	10.631	2.2678104848204863	36.0	13.0	174.0	3098725.0
21	1456649.0	1210109.0	122962.0	134322.0	182.0	0.0	0.0	106.0	75.0	12.0	34.0	1.0	0.0	0.0	10.686999999999999	1.2295509367947468	55.0	26.0	228.0	2924224.0
26	536237.5	348821.5	8120.0	26052.5	0.0	0.0	0.0	68.0	21.5	2.0	12.0	0.0	0.0	0.0	5.9269999999999996	2.072868420812088	18.5	7.0	103.5	919231.5
28	1126166.5	983793.5	45054.5	65504.5	182.0	0.0	0.0	121.5	62.0	8.0	32.5	1.0	0.0	0.0	15.2315	5.06700217189612	40.5	13.5	225.0	2220701.0
