	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	147661.0	147709.5	1709.0	65282.0	0.0	0.0	-1.0	24.5	22.0	1.0	6.0	0.0	0.0	1.0	4.6204999999999998	0.62893803351363653	10.0	5.0	54.5	362360.5
1	686799.5	243952.0	4383.0	60278.5	182.0	0.0	0.0	30.0	22.0	1.0	10.5	1.0	0.0	0.0	3.2115	0.50792814452440016	15.5	4.0	64.5	995595.0
2	646530.0	326753.5	22305.0	108069.5	0.0	0.0	0.0	84.0	40.0	3.0	11.0	0.0	0.0	0.0	8.775500000000001	1.5136308697961995	28.5	12.0	138.0	1103658.0
4	1348772.0	736277.5	66182.0	121907.5	0.0	0.0	0.0	123.5	44.0	5.0	22.0	0.0	0.0	0.0	5.1920000000000002	0.84558488633607931	40.5	21.0	194.5	2273139.0
6	639305.5	451950.0	10538.0	69562.0	182.0	0.0	0.0	62.5	42.0	1.0	28.0	1.0	0.0	0.0	4.3164999999999996	0.491742859632959	33.0	15.5	134.5	1171537.5
7	1036018.0	399441.0	706.0	190807.0	182.0	0.0	0.0	82.5	42.5	1.0	34.5	1.0	0.0	0.0	5.202	3.4904168246786806	44.5	17.0	161.5	1627154.0
9	564273.5	858696.5	23903.0	87379.0	182.0	0.0	0.0	102.0	51.5	2.0	44.5	1.0	0.0	0.0	8.2439999999999998	0.85633463085408379	64.0	24.0	201.0	1534434.0
10	2344794.0	658083.0	242501.0	179576.5	0.0	0.0	0.0	222.0	54.0	3.0	38.0	0.0	0.0	0.0	6.7170000000000005	1.7618434777243976	70.5	40.0	317.0	3424954.5
12	1362239.0	616154.5	19483.0	409132.0	0.0	0.0	0.0	151.5	65.5	4.0	46.5	0.0	0.0	0.0	23.247500000000002	1.4258866923339313	83.5	43.5	267.5	2407008.5
13	1281599.0	665795.0	96138.0	82314.0	182.0	0.0	0.0	89.0	55.0	3.0	29.0	1.0	0.0	0.0	15.577999999999999	1.0120515040814773	46.0	13.0	177.0	2126028.0
16	6638511.0	517418.5	15492.0	54286.5	182.0	0.0	0.0	71.5	40.0	4.0	34.0	1.0	0.0	0.0	7.7170000000000005	0.57910276290136997	44.5	17.0	150.5	7225890.0
17	820643.5	839802.5	254739.0	114790.5	0.0	0.0	0.0	190.5	62.0	4.0	70.0	0.0	0.0	0.0	25.519500000000001	1.3693915619719585	98.0	50.0	326.5	2029975.5
18	2171225.5	731969.0	45528.0	305898.0	182.0	0.0	0.0	79.5	56.0	6.0	33.5	1.0	0.0	0.0	8.2474999999999987	0.76916799855428208	62.5	25.0	176.0	3254802.5
19	2235968.5	549015.0	62514.5	157456.0	967.0	0.0	0.0	57.5	44.0	9.0	59.5	2.0	0.0	0.0	6.8609999999999998	0.44052206528163812	35.0	11.0	172.0	3005921.0
21	1421863.0	1198377.0	122962.0	124964.5	182.0	0.0	0.0	104.0	75.0	12.0	40.0	1.0	0.0	0.0	8.1325000000000003	0.67214865171329474	55.5	25.5	232.0	2868348.5
24	1913131.0	1148514.0	73402.0	310381.0	182.0	0.0	0.0	345.0	115.0	9.0	125.0	1.0	0.0	0.0	17.004999999999999	1.1966256639366537	150.0	76.0	595.0	3445610.0
26	588299.0	394385.0	8120.0	41048.5	182.0	0.0	0.0	72.5	24.5	2.0	16.0	1.0	0.0	0.0	4.7929999999999993	1.1949255876413392	21.0	7.0	116.0	1032034.5
28	1457012.5	1015901.0	44533.0	70840.0	182.0	0.0	0.0	132.0	75.0	7.0	38.0	1.0	0.0	0.0	15.885	1.4233775465420273	49.0	15.0	253.0	2588468.5
