	red_number_frac	red_time_frac	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size	others_app_size	others_app_number	others_text_size	others_text_number
0	0.0508474576271	0.0673618642289	147661.0	147709.5	1709.0	65282.0	0.0	0.0	-1.0	24.5	22.0	1.0	6.0	0.0	0.0	1.0	4.6205	0.628938033514	10.0	5.0	54.5	362360.5	369511.0	5.0	0.0	0.0
1	0.0351956434046	0.0767467759852	686799.5	243952.0	4383.0	60278.5	182.0	0.0	0.0	30.0	22.0	1.0	10.5	1.0	0.0	0.0	3.2115	0.507928144524	15.5	4.0	64.5	995595.0	188065.5	6.0	0.0	0.0
2	0.0553645700705	0.0462357548285	646530.0	326753.5	22305.0	108069.5	0.0	0.0	0.0	84.0	40.0	3.0	11.0	0.0	0.0	0.0	8.7755	1.5136308698	28.5	12.0	138.0	1103658.0	374023.0	8.0	77160.0	1.0
4	0.0657276995305	0.0458552057214	1348772.0	736277.5	66182.0	121907.5	0.0	0.0	0.0	123.5	44.0	5.0	22.0	0.0	0.0	0.0	5.192	0.845584886336	40.5	21.0	194.5	2273139.0	373420.0	8.0	49629.0	4.0
6	0.116646658663	0.195858664295	639305.5	451950.0	10538.0	69562.0	182.0	0.0	0.0	62.5	42.0	1.0	28.0	1.0	0.0	0.0	4.3165	0.491742859633	33.0	15.5	134.5	1171537.5	370412.0	8.0	0.0	0.0
7	0.0905894817954	0.0930263262549	1036018.0	399441.0	706.0	190807.0	182.0	0.0	0.0	82.5	42.5	1.0	34.5	1.0	0.0	0.0	5.202	3.49041682468	44.5	17.0	161.5	1627154.0	379943.5	9.0	0.0	0.0
9	0.101721807604	0.145526783019	564273.5	858696.5	23903.0	87379.0	182.0	0.0	0.0	102.0	51.5	2.0	44.5	1.0	0.0	0.0	8.244	0.856334630854	64.0	24.0	201.0	1534434.0	372056.0	7.0	45724.0	5.0
10	0.164600271003	0.25459366894	2344794.0	658083.0	242501.0	179576.5	0.0	0.0	0.0	222.0	54.0	3.0	38.0	0.0	0.0	0.0	6.717	1.76184347772	70.5	40.0	317.0	3424954.5	371910.5	8.0	1456.0	1.5
12	0.13733277592	0.257501646879	1362239.0	616154.5	19483.0	409132.0	0.0	0.0	0.0	151.5	65.5	4.0	46.5	0.0	0.0	0.0	23.2475	1.42588669233	83.5	43.5	267.5	2407008.5	464266.0	10.5	0.0	1.0
13	0.0486486486486	0.0444476432673	1281599.0	665795.0	96138.0	82314.0	182.0	0.0	0.0	89.0	55.0	3.0	29.0	1.0	0.0	0.0	15.578	1.01205150408	46.0	13.0	177.0	2126028.0	373821.0	8.0	0.0	3.0
16	0.0783843667139	0.179693412648	6638511.0	517418.5	15492.0	54286.5	182.0	0.0	0.0	71.5	40.0	4.0	34.0	1.0	0.0	0.0	7.717	0.579102762901	44.5	17.0	150.5	7225890.0	369513.0	6.0	0.0	0.5
17	0.277379690361	0.400979994073	820643.5	839802.5	254739.0	114790.5	0.0	0.0	0.0	190.5	62.0	4.0	70.0	0.0	0.0	0.0	25.5195	1.36939156197	98.0	50.0	326.5	2029975.5	2460615.5	17.0	0.0	2.0
18	0.104130434783	0.0472126941153	2171225.5	731969.0	45528.0	305898.0	182.0	0.0	0.0	79.5	56.0	6.0	33.5	1.0	0.0	0.0	8.2475	0.769167998554	62.5	25.0	176.0	3254802.5	381809.0	12.0	0.0	0.0
19	0.170906432749	0.0681314016925	2235968.5	549015.0	62514.5	157456.0	967.0	0.0	0.0	57.5	44.0	9.0	59.5	2.0	0.0	0.0	6.861	0.440522065282	35.0	11.0	172.0	3005921.0	370173.5	7.0	0.0	0.0
21	0.119929826308	0.169964541502	1421863.0	1198377.0	122962.0	124964.5	182.0	0.0	0.0	104.0	75.0	12.0	40.0	1.0	0.0	0.0	8.1325	0.672148651713	55.5	25.5	232.0	2868348.5	373464.0	10.0	0.0	2.0
24	0.318072289157	0.359617950603	1913131.0	1148514.0	73402.0	310381.0	182.0	0.0	0.0	345.0	115.0	9.0	125.0	1.0	0.0	0.0	17.005	1.19662566394	150.0	76.0	595.0	3445610.0	382416.0	85.0	212.0	14.0
26	0.0321290322581	0.0444197846099	588299.0	394385.0	8120.0	41048.5	182.0	0.0	0.0	72.5	24.5	2.0	16.0	1.0	0.0	0.0	4.793	1.19492558764	21.0	7.0	116.0	1032034.5	369511.0	5.0	5408.0	2.0
28	0.0447767428261	0.0510904748479	1457012.5	1015901.0	44533.0	70840.0	182.0	0.0	0.0	132.0	75.0	7.0	38.0	1.0	0.0	0.0	15.885	1.42337754654	49.0	15.0	253.0	2588468.5	374219.0	6.5	0.0	0.0
