	others_app_size	others_app_number	others_text_size	others_text_number
0	0.0	0.0	0.0	0.0
1	377801.0	18.0	497062.0	15.0
2	670748.0	7.0	4794.0	6.0
3	369773.0	23.0	147927.0	12.0
4	440162.0	11.0	169424.0	9.0
5	825099.0	20.0	124056.5	5.0
6	80362.0	5.0	0.0	0.0
7	370232.0	7.0	0.0	4.0
8	442398.0	6.0	0.0	0.0
9	417840.0	7.0	0.0	0.0
10	383029.0	9.0	187616.0	4.0
11	369692.0	6.0	0.0	1.0
12	425904.0	6.0	0.0	6.0
13	449785.0	17.0	0.0	1.0
14	794273.0	14.0	1736.0	2.0
15	642377.0	15.0	49428.0	5.0
16	389029.0	14.0	0.0	0.0
17	424684.0	6.0	58.0	1.0
18	416971.0	11.0	58.0	3.0
19	370641.0	8.0	248056.0	9.0
20	440022.0	7.5	0.0	1.0
21	378260.0	6.0	0.0	0.0
22	373483.0	10.0	0.0	0.0
23	369464.0	4.0	0.0	2.0
24	491566.0	7.0	0.0	0.0
25	847167.0	21.0	148859.0	5.0
26	422089.0	3.0	0.0	0.0
27	428545.0	10.0	0.0	0.0
28	386407.0	9.0	0.0	3.0
29	554172.0	21.0	0.0	0.5
30	370287.5	7.5	0.0	4.0
31	184915.0	3.0	173848.0	3.0
32	426244.0	5.0	0.0	0.0
33	1188727.5	13.5	3.0	1.5
34	522453.0	14.0	0.0	0.0
35	374082.0	8.0	60.0	3.0
36	258183.0	12.5	0.0	0.0
