	image_size	javascript_size	css_size	html_size	xml_size	audio_size	video_size	image_number	javascript_number	css_number	html_number	xml_number	audio_number	video_number	load_time	load_time_std	server_number	service_number	total_number	total_size
0	79504.0	32173.0	34140.0	30863.0	0.0	0.0	0.0	15.0	7.0	6.0	3.0	0.0	0.0	0.0	0.69599999999999995	0.31181836058833995	6.0	3.0	31.0	176680.0
1	1092843.5	1741293.0	245991.5	207113.5	0.0	0.0	0.0	193.0	101.0	12.0	62.0	0.0	0.0	0.0	14.352499999999999	1.0794783925581839	113.0	57.5	368.0	3287241.5
2	529957.5	941989.5	297501.0	135972.5	0.0	0.0	0.0	61.0	37.0	7.0	32.0	0.0	0.0	0.0	7.4589999999999996	1.3051967224809442	51.5	28.5	137.0	1905420.5
3	5264786.0	1441851.0	199984.0	90946.0	0.0	0.0	0.0	125.0	62.0	7.0	24.0	0.0	0.0	0.0	11.861000000000001	4.0568623343663015	54.0	22.0	218.0	6997567.0
4	963247.5	2431511.5	137073.0	297429.0	0.0	0.0	0.0	189.0	135.0	12.0	92.0	0.0	0.0	0.0	14.567499999999999	4.6157555177890428	150.5	76.0	428.0	3829261.0
5	386137.0	1480111.0	79423.0	208239.0	667.0	0.0	0.0	114.0	96.0	2.0	73.0	3.5	0.0	0.0	16.088000000000001	2.5317452893211825	120.5	65.0	288.5	2154577.0
6	4139.0	143326.0	2574.0	76868.5	3665.0	0.0	0.0	7.0	10.0	1.0	2.0	2.0	0.0	0.0	1.3905000000000001	0.29168476134347499	11.5	8.0	22.0	230572.5
7	371626.0	1523926.0	792453.0	167475.0	0.0	0.0	0.0	73.0	69.0	9.0	48.0	0.0	0.0	0.0	16.059999999999999	1.4943723402679885	79.0	43.0	199.0	2855480.0
8	770458.0	704303.0	0.0	56952.0	0.0	0.0	0.0	83.0	24.0	0.0	28.0	0.0	0.0	0.0	5.3730000000000002	0.72484559445613594	41.0	21.0	135.0	1531713.0
9	1324770.0	327938.5	187843.0	22538.5	14569.0	0.0	0.0	27.0	28.0	3.0	6.0	6.0	0.0	0.0	5.2469999999999999	0.35226497129291756	17.0	6.0	70.0	1877659.0
10	742228.0	1090429.0	174780.0	152919.5	182.0	0.0	0.0	135.5	76.5	5.0	34.0	1.0	0.0	0.0	21.784500000000001	1.6046264362773042	82.0	36.5	252.0	2160538.5
11	1140425.5	1407515.0	353696.5	160919.0	182.0	0.0	0.0	175.0	104.0	7.5	66.5	1.0	0.0	0.0	16.718499999999999	1.6743132353296382	124.0	58.0	354.0	3062738.0
12	137387.0	285906.0	10437.0	21862.5	12758.0	0.0	0.0	9.0	14.0	1.0	2.0	4.0	0.0	0.0	2.0535000000000001	0.32457301181706405	18.0	12.0	30.0	468350.5
13	1404439.0	978928.0	158857.0	180937.5	3915.0	0.0	0.0	70.0	51.0	5.0	20.0	3.0	0.0	0.0	6.1485000000000003	0.90495847418541786	68.0	30.0	149.0	2727076.5
14	2093641.5	643705.0	24550.5	46872.5	14951.0	0.0	0.0	86.5	27.5	1.5	12.0	22.0	0.0	0.0	8.6539999999999999	1.830284789315586	26.0	9.0	149.5	2823720.5
15	281469.5	1853391.5	16547.5	167484.5	5466.0	0.0	0.0	101.0	81.0	6.0	46.0	1.0	0.0	0.0	12.8025	1.0785580002948378	104.5	59.0	235.0	2324359.0
16	183731.5	946059.0	26059.0	141426.5	7862.0	0.0	0.0	78.0	50.0	1.0	71.0	2.0	0.0	0.0	7.3399999999999999	2.2725745312310446	80.0	45.5	202.0	1305138.0
17	3130479.5	494040.0	187702.0	90568.0	0.0	0.0	0.0	214.0	30.0	17.0	7.0	0.0	0.0	0.0	7.5660000000000007	3.043382466927218	19.0	10.0	268.0	3902789.5
18	784340.0	605751.5	29767.0	48912.0	0.0	0.0	0.0	100.0	65.0	1.0	46.5	0.0	0.0	0.0	13.161000000000001	2.8067827935200116	88.0	45.0	212.5	1468770.5
19	306400.0	1079336.0	309434.0	91401.0	0.0	0.0	0.0	157.0	107.0	4.0	62.0	0.0	0.0	0.0	14.583	5.4228390496145735	133.0	68.0	330.0	1786571.0
