	others_app_size	others_app_number	others_text_size	others_text_number
0	1373.0	1.0	0.0	0.0
1	382387.0	22.0	868776.5	28.5
2	673157.5	9.5	8996.5	7.0
3	416664.0	27.0	197572.0	14.0
4	444882.0	18.0	70148.0	7.0
5	1475542.5	30.0	199057.5	9.0
6	82775.0	5.0	0.0	0.0
7	376241.0	17.0	103211.0	8.0
8	444999.0	7.0	0.0	0.0
9	420502.0	8.0	0.0	0.0
10	380033.0	11.0	287945.0	7.0
11	373395.5	9.5	211616.0	20.0
12	57785.0	3.0	0.0	2.0
13	452926.5	17.0	0.0	1.5
14	797622.5	16.5	1736.0	2.0
15	645118.0	16.5	49426.0	5.0
16	390410.0	15.0	0.0	1.0
17	403697.5	7.0	58.0	1.0
18	418360.0	13.0	130769.5	9.0
19	370744.0	10.0	397357.0	28.0
20	72305.5	5.0	0.0	0.0
21	380894.0	7.0	0.0	0.0
22	376280.0	10.5	11.0	4.5
23	372187.0	5.0	0.0	0.0
24	493992.0	7.5	0.0	0.0
25	849150.0	24.5	149056.5	6.5
26	424673.0	4.0	0.0	0.0
27	596583.0	14.0	0.0	6.0
29	556842.5	17.0	0.0	1.0
30	373082.0	9.0	0.0	4.0
31	3033.0	2.0	173848.0	3.0
32	428934.0	6.0	0.0	0.0
33	651949.0	12.0	148782.0	10.0
34	522577.5	14.5	0.0	1.0
35	379675.0	12.0	60.0	4.0
36	260726.5	13.5	0.0	0.0
