	others_app_size	others_app_number	others_text_size	others_text_number
0	373716.0	8.0	0.0	3.0
1	676463.5	30.5	24800.5	16.0
2	719801.5	25.0	0.0	13.0
3	633079.0	18.0	0.0	0.0
4	378616.0	11.0	189.0	4.0
5	529443.0	21.0	0.0	0.0
6	472937.0	22.0	947.0	9.0
7	480333.0	15.0	0.0	0.0
8	1563.5	2.0	0.0	0.0
9	439146.0	11.0	100000.0	3.0
10	383984.0	17.0	17845.0	15.0
11	521570.0	9.0	0.0	0.0
12	427642.0	20.0	100946.0	10.0
13	369491.5	5.5	118290.0	9.5
14	370690.5	10.0	0.0	0.0
15	381764.0	12.0	356745.0	11.0
16	382906.0	26.0	0.0	0.0
17	78364.0	9.0	545.0	3.0
18	409191.5	27.5	84268.5	22.0
19	516662.0	31.0	195890.5	10.0
20	382427.0	13.0	12305.0	5.0
21	466086.5	45.0	798.5	22.0
22	684538.0	26.0	201214.0	14.0
23	414061.0	22.0	5590.0	2.0
24	488366.0	9.0	0.0	7.0
25	652877.0	19.0	0.0	1.0
26	370641.0	9.0	461.0	5.0
27	383675.0	21.0	617430.0	22.0
28	655146.0	16.0	696.0	7.0
29	0.0	0.0	0.0	0.0
30	465936.0	11.0	0.0	2.0
31	620333.0	12.5	0.0	3.0
32	675154.0	24.0	0.0	2.0
33	471057.0	13.0	6972.0	2.0
34	488464.0	18.0	0.0	0.0
35	940482.0	14.0	23980.5	9.0
36	0.0	0.0	0.0	0.0
37	414943.0	8.0	0.0	1.0
38	581543.0	29.0	40987.0	5.0
39	2853.0	2.0	0.0	0.0
40	66719.0	4.0	0.0	5.0
41	683325.5	29.0	0.0	1.0
42	1019344.0	33.0	0.0	2.0
43	642394.0	16.0	1.0	4.0
44	55.0	1.0	0.0	0.0
45	441146.0	13.0	0.0	3.0
46	446545.5	18.0	406433.0	28.0
47	393481.5	8.5	3.0	1.5
48	55.0	1.0	0.0	0.0
49	390837.5	23.0	6815.0	31.5
50	726882.0	25.0	1188.0	6.0
51	389080.0	15.0	0.0	1.0
52	525331.0	10.0	0.0	0.0
53	545397.0	19.0	0.0	0.0
54	472357.0	19.0	0.0	2.0
55	525169.0	16.0	0.0	0.0
56	0.0	0.0	0.0	0.0
57	505776.0	34.0	0.0	0.0
58	774466.5	37.0	21.5	5.0
59	390908.5	13.0	6.0	4.0
60	689710.5	19.5	26.0	3.0
61	437181.0	9.0	652.0	2.0
62	468802.5	25.5	0.0	5.5
63	374625.0	13.5	99878.0	5.0
64	419274.0	15.0	14197.0	21.5
65	627491.5	43.0	0.0	1.0
66	371917.0	7.0	58.0	1.0
67	371017.0	18.0	1664.0	5.0
68	388252.0	20.0	121.0	3.0
69	393162.5	14.0	0.0	1.0
70	50465.5	20.0	0.0	0.0
71	776411.0	40.0	2.0	3.0
72	4879.0	2.0	0.0	0.0
73	386645.5	21.0	17196.0	8.5
74	460754.0	18.0	356722.0	15.0
75	449043.0	10.0	120.0	10.5
76	780417.0	66.0	49790.0	22.0
77	370036.0	8.0	0.0	1.0
78	380318.0	22.0	0.0	5.0
79	770541.5	40.5	2.0	3.5
80	643113.0	24.0	108660.0	28.0
81	396271.0	19.0	7311.0	2.0
82	25909.0	4.0	0.0	0.0
83	376692.0	14.0	4608.0	1.0
84	534799.0	7.0	0.0	0.0
85	393007.0	9.0	0.0	5.0
86	488562.0	18.0	0.0	4.0
87	600602.0	27.0	505.0	5.0
88	558092.0	15.0	1.0	6.0
89	456076.5	12.5	0.0	1.0
90	442074.0	10.0	0.0	0.0
91	581003.5	34.5	0.0	14.5
92	535135.0	21.0	0.0	1.0
93	391314.0	15.0	356719.0	11.0
94	376409.0	20.0	7797.0	2.0
95	371217.5	12.5	58.0	3.0
96	905820.0	23.0	7165.0	26.0
97	373701.0	9.0	1150.0	1.0
98	537987.0	18.0	80.0	2.0
99	483254.0	29.0	0.0	6.0
100	923183.0	14.0	0.0	0.0
101	369631.0	6.0	4211.5	2.0
102	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0
104	593223.5	26.5	507.0	11.0
105	403175.5	7.0	0.0	1.0
106	609638.0	13.0	0.0	0.0
107	454774.5	23.5	6272.0	15.0
108	773341.0	43.0	2.0	3.0
109	450241.0	9.0	0.0	2.0
110	429322.0	26.0	0.0	3.0
111	756285.0	47.0	2.0	2.0
112	645328.0	29.0	100447.0	7.0
113	748956.5	15.0	0.0	1.0
114	488270.0	29.0	706739.0	32.0
115	370131.0	7.0	1.0	3.0
116	373028.0	6.0	0.0	0.0
117	390335.0	8.0	0.0	0.0
118	452412.5	19.5	465.0	5.0
119	518922.0	12.0	0.0	0.0
120	449907.0	21.0	555371.0	27.0
121	777929.0	17.0	1.0	2.0
122	515062.5	11.0	0.0	0.0
123	415865.0	6.0	0.0	0.0
124	758095.0	21.0	0.0	1.0
125	456254.5	37.0	556215.0	31.5
126	416920.0	17.0	356739.0	11.0
127	451395.0	12.0	23.0	4.0
128	20806.5	4.5	0.0	0.0
129	486794.5	13.0	48655.0	9.0
130	394648.5	19.0	7365.5	6.5
131	369519.0	5.0	49936.0	1.0
132	431633.0	28.0	100944.0	9.0
133	369464.0	4.0	0.0	0.0
134	462206.0	17.0	406669.0	13.0
135	459400.0	27.5	581111.5	31.0
136	507070.5	15.0	0.0	2.0
137	387797.0	15.0	306764.0	13.0
138	3397.0	3.0	135620.0	5.0
139	593258.0	26.5	2364.0	11.5
140	446990.5	21.0	0.0	17.0
141	653115.0	14.0	0.0	0.0
142	667668.0	35.0	40990.0	8.0
143	369519.0	5.0	0.0	1.0
144	371672.5	7.0	5403.0	1.0
145	384962.0	16.0	182.0	13.0
146	393470.0	14.0	0.0	2.5
147	676672.0	14.0	0.0	4.0
148	399243.0	23.0	530187.0	3.0
149	369519.0	5.0	5953.0	2.0
151	453540.0	10.5	0.0	1.0
152	594952.0	25.0	1141.0	7.0
153	2739.0	2.0	1.0	1.0
154	580598.0	26.0	505.0	6.0
155	380964.0	13.0	2069.0	4.0
156	488220.5	13.0	0.0	5.5
157	552893.0	27.0	6676.0	3.0
158	55.0	1.0	0.0	0.0
159	391353.0	16.0	398916.0	12.5
160	757929.5	18.0	16983.0	3.0
161	28113.0	5.0	58.0	1.0
162	440119.0	27.0	0.0	2.0
163	607931.0	14.0	16987.0	4.0
164	369519.0	5.0	0.0	0.0
165	1527.0	2.0	0.0	0.0
166	478509.5	18.5	58.0	1.0
168	625561.5	17.5	0.0	0.0
169	210.0	1.0	0.0	0.0
170	217437.0	4.0	6201.0	1.0
171	828799.0	16.0	0.0	4.0
172	479946.0	22.0	355642.0	21.0
173	369464.0	4.0	0.0	0.0
174	479258.5	11.0	0.0	2.0
175	376974.0	7.0	0.0	0.0
176	399524.0	14.0	65.0	8.0
177	758075.0	21.5	0.0	1.0
178	722562.5	17.0	155.0	11.0
180	369519.0	5.0	156944.0	6.0
181	421503.0	7.0	0.0	1.0
182	608143.0	12.0	973.0	1.0
183	0.0	0.0	0.0	0.0
184	482361.0	25.0	0.0	2.0
185	369464.0	4.0	15018.5	3.0
186	389793.0	8.0	0.0	7.0
187	1687127.0	30.0	100256.0	11.0
188	379071.5	10.0	0.0	0.5
189	446679.0	6.0	58.0	1.0
190	776971.0	11.0	0.0	0.0
191	396231.0	15.0	24516.0	10.0
192	482001.0	9.0	894.0	4.0
193	392476.0	14.0	0.0	1.0
194	372055.5	7.0	75829.0	13.5
195	2395455.0	24.0	41713.0	8.0
196	475435.0	13.0	25010.0	1.0
197	440882.5	9.0	0.0	0.0
